,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.058566
1,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.05891
2,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.046432
3,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.056394
4,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.06096
5,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.061192
6,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.051452
7,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.056261
8,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.05123
9,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.043916
10,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.058555
11,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.058311
12,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.045988
13,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.044094
14,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.059386
15,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.06373
16,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.043495
17,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.052903
18,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.052083
19,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.043894
20,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.066356
21,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.052737
22,ii,hamming_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.064262
