,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.9998539631929043
1,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.9998293456947684
2,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9997654566805317
3,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9997925691901423
4,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.999819379234158
5,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9998386417353905
6,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9997974187819869
7,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9997880419414691
8,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9997893471816496
9,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997222746232367
10,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9997630666489008
11,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9998003185394727
12,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.9996856946696009
13,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.9996960733833697
14,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9997966066631458
15,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9998650596646369
