,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.8852932678416643
1,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.851363236587511
2,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.8334771354616048
3,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.8279134505883842
4,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.8232288357961608
5,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.8687907676869042
6,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.8542979942693409
7,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.8281916227740156
8,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.8226752713405691
9,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.7709539390888498
10,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9365235749472203
11,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.8669993761696818
12,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.7514611338398598
13,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.7782212797804665
14,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.8730559058427911
15,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.8722201281568036
16,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.7630890052356021
