,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.9065293137403424
1,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.8614266842800529
2,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.9155609167671894
3,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.8247666622847377
4,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.9427776964729987
5,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.9087093389296957
6,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.9029816860905101
7,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.8565653931412178
8,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.9259372609028309
9,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.7914086177361972
10,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.9588776722090261
11,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.8874572705758612
12,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.8488479262672811
13,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.7558489086393936
14,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.9259642382148663
15,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.9275153735444197
16,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.851093105029812
