,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.8215421905771852
1,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.8421400264200792
2,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.8177020506634499
3,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.8167477323517812
4,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.8548221864481194
5,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.8338142707240294
6,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.7926441652792493
7,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.8320511148780806
8,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.7925019127773527
9,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.7661088417446305
10,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.8200712589073634
11,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.7603207993689193
12,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.7294930875576037
13,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.7095804470003921
14,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.8370031032954042
