,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.811965811965812
1,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.8324012583012932
2,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.8325783656459503
3,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.8327452364149612
4,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.8546193252075605
5,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.8335104498760184
6,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.7955980515966083
7,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.8232349387191438
8,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.8051523947750363
9,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.747557003257329
10,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.8195967456667845
11,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.7387354651162791
12,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.7389812138728324
13,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.7078393204742524
14,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.8646457525555165
15,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,2,2,0.7535779816513761
16,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,1,1,0.7618790496760259
