,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,1,1,0.8819969742813918
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,2,2,0.9408744617422988
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,1,1,0.9521651560926485
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,2,2,0.944083874188717
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,1,1,0.9519183270212416
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,2,2,0.8027960526315789
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,1,1,0.886893774123175
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,2,2,0.9392845421726288
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,1,1,0.9508579043811427
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,2,2,0.8420417313329884
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,1,1,0.9406668846028113
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,2,2,0.9490630323679727
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,1,1,0.7418387741505663
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,2,2,0.9525832766825288
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,1,1,0.7853762036885915
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,2,2,0.9388803287108372
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,1,1,0.9517711624812906
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,2,2,0.9525192143467122
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,1,1,0.9477806788511749
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,2,2,0.9238947013162335
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,1,1,0.745385629531971
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,2,2,0.9614824405243567
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,1,1,0.8145412768751026
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,2,2,0.965195670274771
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,1,1,0.8116677235256817
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,2,2,0.9703403059631596
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,1,1,0.8088283557597638
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,2,2,0.9506437768240343
28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,1,1,0.7544266093000165
29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,2,2,0.7999324095978371
30,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,1,1,0.7674976030680729
31,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,2,2,0.8248140528564647
32,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,1,1,0.8193249503639973
33,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,2,2,0.9569586333947413
34,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,1,1,0.7300652554512176
35,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,2,2,0.7625711960943857
36,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,5,1,1,0.8045806557917284
