,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,19,right,right,middle,middle,3,2,2,2,0.923347735637702
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,15,19,left,left,index,index,5,4,2,2,0.942297511911064
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,17,right,right,index,index,1,5,2,2,0.9636758770568147
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,3,left,left,index,index,1,4,2,2,0.94943494639235
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,3,left,left,middle,middle,4,1,2,2,0.9456754824874911
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,15,right,right,middle,middle,4,1,1,1,0.9311957247828991
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,18,19,right,right,middle,middle,5,4,1,1,0.948118006103764
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,14,right,right,middle,middle,4,3,2,2,0.9454518865165253
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,7,left,left,index,index,3,1,2,2,0.9428985041016568
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,9,left,left,index,index,4,3,2,2,0.9478846435368175
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,16,right,right,index,index,3,5,1,1,0.9358653627473277
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,7,left,left,index,index,1,1,1,1,0.9671632715110976
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,11,right,right,index,index,3,3,1,1,0.9590328238536707
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,8,left,left,middle,middle,4,5,1,1,0.9708231458842705
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,8,right,right,middle,middle,2,2,1,1,0.9521650087770626
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,7,left,left,index,index,4,3,1,1,0.955139902676399
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,18,left,left,middle,middle,1,4,1,1,0.9597083178840687
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,17,right,right,middle,middle,3,2,2,2,0.944014401440144
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,18,left,left,middle,middle,4,3,1,1,0.9481138499250987
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,10,right,right,index,index,1,2,1,1,0.9529319254100203
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,15,left,left,middle,middle,4,3,2,2,0.9656237929702588
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,11,right,right,middle,middle,4,3,2,2,0.9373752877973907
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,15,left,left,middle,middle,3,1,1,1,0.9557578661555662
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,13,left,left,index,index,1,5,2,2,0.9223487649755954
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,15,right,right,index,index,2,1,2,2,0.9585575888051668
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,17,left,left,index,index,1,3,2,2,0.9496774193548387
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,15,right,right,middle,middle,2,4,1,1,0.9421545340226352
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,17,right,right,middle,middle,3,5,2,2,0.9480498197312357
28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,16,left,left,index,index,5,1,1,1,0.9364132504124889
29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,13,left,left,middle,middle,4,1,2,2,0.9594374537379718
30,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,19,right,right,index,index,4,3,2,2,0.9470003108486167
31,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,3,right,right,index,index,1,2,1,1,0.9559654864623623
32,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,14,right,right,middle,middle,5,1,2,2,0.9258849557522124
33,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,13,left,left,middle,middle,3,3,2,2,0.9450081833060556
34,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,9,left,left,middle,middle,1,3,1,1,0.9407370517928286
35,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,12,right,right,index,index,2,5,1,1,0.9555216849106277
36,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,18,left,left,middle,middle,3,1,2,2,0.9409917571634175
37,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,10,right,right,middle,middle,3,3,2,2,0.9388872874027097
38,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,17,left,left,middle,middle,3,4,2,2,0.958098904352976
39,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,15,left,left,index,index,5,1,1,1,0.9468864468864469
40,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,14,left,left,index,index,4,5,2,2,0.9535637149028078
41,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,16,right,right,middle,middle,3,2,2,2,0.9467400053662464
42,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,16,left,left,middle,middle,2,2,2,2,0.9432508519780708
43,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,16,right,right,index,index,5,2,1,1,0.9513486261658685
44,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,9,left,left,index,index,2,3,1,1,0.937421074786025
45,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,14,left,left,middle,middle,5,5,2,2,0.9378891419893698
46,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,16,left,left,index,index,1,5,2,2,0.9493445335369735
47,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,10,17,left,left,middle,middle,4,2,1,1,0.9424889135254989
48,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,18,left,left,index,index,3,1,2,2,0.9447145436866231
49,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,16,right,right,index,index,3,4,2,2,0.9537705865356834
50,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,14,right,right,index,index,2,2,1,1,0.9612728503723764
51,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,13,left,left,middle,middle,1,4,1,1,0.9567307692307693
52,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,4,left,left,middle,middle,5,4,2,2,0.9624514458351316
53,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,13,right,right,index,index,3,3,2,2,0.9604026845637584
