,distance_function,mask,prealign,preprocess,postprocess,postalign,eer,tau
0,skeleton_hd,edge,id,id,id,center_of_mass,0.3165829145728643,0.95
1,skeleton_hd,edge,id,id,id,id,0.36055276381909546,0.95
2,skeleton_hd,edge,id,id,skeletonize,center_of_mass,0.1407035175879397,0.45
3,skeleton_hd,edge,id,id,skeletonize,id,0.21231155778894473,0.5
4,skeleton_hd,edge,id,hist_eq,id,center_of_mass,0.19095477386934673,0.75
5,skeleton_hd,edge,id,hist_eq,id,id,0.2776381909547739,0.4
6,skeleton_hd,edge,id,hist_eq,skeletonize,center_of_mass,0.13190954773869346,0.45
7,skeleton_hd,edge,id,hist_eq,skeletonize,id,0.20100502512562815,0.2
8,skeleton_hd,edge,huang_normalization,id,id,center_of_mass,0.28391959798994976,0.95
9,skeleton_hd,edge,huang_normalization,id,id,id,0.2675879396984925,0.95
10,skeleton_hd,edge,huang_normalization,id,skeletonize,center_of_mass,0.14321608040201006,0.45
11,skeleton_hd,edge,huang_normalization,id,skeletonize,id,0.157035175879397,0.55
12,skeleton_hd,edge,huang_normalization,hist_eq,id,center_of_mass,0.19974874371859297,0.2
13,skeleton_hd,edge,huang_normalization,hist_eq,id,id,0.20100502512562812,0.45
14,skeleton_hd,edge,huang_normalization,hist_eq,skeletonize,center_of_mass,0.12437185929648242,0.45
15,skeleton_hd,edge,huang_normalization,hist_eq,skeletonize,id,0.1444723618090452,0.45
16,skeleton_hd,edge,huang_fingertip,id,id,center_of_mass,0.28391959798994976,0.95
17,skeleton_hd,edge,huang_fingertip,id,id,id,0.2814070351758794,0.95
18,skeleton_hd,edge,huang_fingertip,id,skeletonize,center_of_mass,0.1407035175879397,0.45
19,skeleton_hd,edge,huang_fingertip,id,skeletonize,id,0.15829145728643212,0.45
20,skeleton_hd,edge,huang_fingertip,hist_eq,id,center_of_mass,0.1984924623115578,0.45
21,skeleton_hd,edge,huang_fingertip,hist_eq,id,id,0.2185929648241206,0.4
22,skeleton_hd,edge,huang_fingertip,hist_eq,skeletonize,center_of_mass,0.12688442211055276,0.45
23,skeleton_hd,edge,huang_fingertip,hist_eq,skeletonize,id,0.1444723618090452,0.45
24,skeleton_hd,edge,translation,id,id,center_of_mass,0.30402010050251255,0.95
25,skeleton_hd,edge,translation,id,id,id,0.2914572864321608,0.95
26,skeleton_hd,edge,translation,id,skeletonize,center_of_mass,0.1444723618090452,0.6
27,skeleton_hd,edge,translation,id,skeletonize,id,0.135678391959799,0.5
28,skeleton_hd,edge,translation,hist_eq,id,center_of_mass,0.2160804020100503,0.2
29,skeleton_hd,edge,translation,hist_eq,id,id,0.21105527638190957,0.85
30,skeleton_hd,edge,translation,hist_eq,skeletonize,center_of_mass,0.12939698492462312,0.5
31,skeleton_hd,edge,translation,hist_eq,skeletonize,id,0.12437185929648241,0.55
32,miura_distance,edge,id,id,id,center_of_mass,0.16080402010050251,0.45
33,miura_distance,edge,id,id,id,id,0.22236180904522612,0.55
34,miura_distance,edge,id,id,skeletonize,center_of_mass,0.13819095477386933,0.5
35,miura_distance,edge,id,id,skeletonize,id,0.19472361809045227,0.35
36,miura_distance,edge,id,hist_eq,id,center_of_mass,0.1444723618090452,0.55
37,miura_distance,edge,id,hist_eq,id,id,0.20728643216080403,0.65
38,miura_distance,edge,id,hist_eq,skeletonize,center_of_mass,0.12437185929648241,0.6
39,miura_distance,edge,id,hist_eq,skeletonize,id,0.17964824120603015,0.3
40,miura_distance,edge,huang_normalization,id,id,center_of_mass,0.164572864321608,0.4
41,miura_distance,edge,huang_normalization,id,id,id,0.1620603015075377,0.65
42,miura_distance,edge,huang_normalization,id,skeletonize,center_of_mass,0.14321608040201006,0.6
43,miura_distance,edge,huang_normalization,id,skeletonize,id,0.1331658291457286,0.55
44,miura_distance,edge,huang_normalization,hist_eq,id,center_of_mass,0.13442211055276387,0.6
45,miura_distance,edge,huang_normalization,hist_eq,id,id,0.14321608040201006,0.4
46,miura_distance,edge,huang_normalization,hist_eq,skeletonize,center_of_mass,0.11809045226130653,0.55
47,miura_distance,edge,huang_normalization,hist_eq,skeletonize,id,0.12060301507537688,0.65
48,miura_distance,edge,huang_fingertip,id,id,center_of_mass,0.164572864321608,0.45
49,miura_distance,edge,huang_fingertip,id,id,id,0.1670854271356784,0.5
50,miura_distance,edge,huang_fingertip,id,skeletonize,center_of_mass,0.14321608040201006,0.6
51,miura_distance,edge,huang_fingertip,id,skeletonize,id,0.13190954773869346,0.5
52,miura_distance,edge,huang_fingertip,hist_eq,id,center_of_mass,0.13442211055276387,0.6
53,miura_distance,edge,huang_fingertip,hist_eq,id,id,0.1444723618090452,0.45
54,miura_distance,edge,huang_fingertip,hist_eq,skeletonize,center_of_mass,0.11557788944723613,0.55
55,miura_distance,edge,huang_fingertip,hist_eq,skeletonize,id,0.12060301507537685,0.7
56,miura_distance,edge,translation,id,id,center_of_mass,0.16331658291457288,0.6
57,miura_distance,edge,translation,id,id,id,0.15577889447236182,0.6
58,miura_distance,edge,translation,id,skeletonize,center_of_mass,0.14321608040201006,0.6
59,miura_distance,edge,translation,id,skeletonize,id,0.12814070351758794,0.6
60,miura_distance,edge,translation,hist_eq,id,center_of_mass,0.14195979899497488,0.55
61,miura_distance,edge,translation,hist_eq,id,id,0.14070351758793975,0.5
62,miura_distance,edge,translation,hist_eq,skeletonize,center_of_mass,0.12060301507537688,0.65
63,miura_distance,edge,translation,hist_eq,skeletonize,id,0.11306532663316582,0.55
