,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,1,1,0.007846
1,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,2,2,0.009331
2,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,1,1,0.008466
3,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,2,2,0.009441
4,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,1,1,0.00768
5,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,2,2,0.008577
6,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,1,1,0.008156
7,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,2,2,0.009309
8,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,1,1,0.009209
9,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,2,2,0.011569
10,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,1,1,0.009286
11,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,2,2,0.010084
12,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,1,1,0.008976
13,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,2,2,0.010494
14,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,1,1,0.009364
15,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,2,2,0.010705
16,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,1,1,0.008954
17,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,2,2,0.011758
18,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,4,5,1,1,0.009176
19,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,4,5,2,2,0.01086
20,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.009453
21,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.010527
22,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.009375
23,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.008488
24,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.007558
25,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,4,2,2,0.006328
26,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,5,1,1,0.008987
27,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,5,2,2,0.008721
28,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,3,1,1,0.009984
29,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,3,2,2,0.008511
30,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,4,1,1,0.008854
31,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,4,2,2,0.00799
32,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,5,1,1,0.009586
33,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,5,2,2,0.010117
34,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,4,1,1,0.009608
35,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,4,2,2,0.0082
36,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,5,1,1,0.009763
37,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,5,2,2,0.008743
38,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,4,5,1,1,0.009364
39,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,4,5,2,2,0.008555
40,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,2,1,1,0.00635
41,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,2,2,2,0.007646
42,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,3,1,1,0.007502
43,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,3,2,2,0.007569
44,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,4,1,1,0.006871
45,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,4,2,2,0.008355
46,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,5,1,1,0.008267
47,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,1,5,2,2,0.007835
48,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,3,1,1,0.009885
49,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,3,2,2,0.00861
50,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,4,1,1,0.008721
51,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,4,2,2,0.008743
52,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,5,1,1,0.008677
53,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,2,5,2,2,0.008256
54,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,3,4,1,1,0.009962
55,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,3,4,2,2,0.009342
56,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,3,5,1,1,0.010284
57,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,3,5,2,2,0.009342
58,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,4,5,1,1,0.011082
59,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,right,right,index,index,4,5,2,2,0.009918
