,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,1,1,1,0.003291
1,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,1,2,2,0.004654
2,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,2,1,1,0.003635
3,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,2,2,2,0.004998
4,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,3,1,1,0.003446
5,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,3,2,2,0.002383
6,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,4,1,1,0.002593
7,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,4,2,2,0.002704
8,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,5,1,1,0.00451
9,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,1,5,2,2,0.004909
10,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,1,1,1,0.003258
11,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,1,2,2,0.003867
12,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,2,1,1,0.003302
13,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,2,2,2,0.004433
14,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,3,1,1,0.004023
15,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,3,2,2,0.004543
16,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,4,1,1,0.003856
17,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,4,2,2,0.003568
18,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,5,1,1,0.002892
19,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,2,5,2,2,0.004377
20,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,1,1,1,0.004588
21,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,1,2,2,0.003469
22,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,2,1,1,0.004045
23,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,2,2,2,0.005419
24,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,3,1,1,0.004721
25,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,3,2,2,0.003047
26,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,4,1,1,0.004178
27,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,4,2,2,0.003768
28,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,5,1,1,0.003635
29,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,3,5,2,2,0.004455
30,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,1,1,1,0.005031
31,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,1,2,2,0.003191
32,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,2,1,1,0.004045
33,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,2,2,2,0.003945
34,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,3,1,1,0.003369
35,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,3,2,2,0.003635
36,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,4,1,1,0.003546
37,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,4,2,2,0.003169
38,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,5,1,1,0.003701
39,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,4,5,2,2,0.004211
40,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,1,1,1,0.002826
41,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,1,2,2,0.003114
42,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,2,1,1,0.003491
43,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,2,2,2,0.003391
44,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,3,1,1,0.003225
45,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,3,2,2,0.003746
46,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,4,1,1,0.002693
47,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,4,2,2,0.003768
48,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,5,1,1,0.003336
49,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,index,index,5,5,2,2,0.004244
50,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,middle,middle,1,1,1,1,0.003513
51,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,middle,middle,1,1,2,2,0.003613
52,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,middle,middle,1,2,1,1,0.003757
53,ii,skeleton_hd,morph,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,1,left,left,middle,middle,1,2,2,2,0.004067
