,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,1,1,0.078092
1,i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,1,2,0.079488
2,i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,2,1,0.072695
3,i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,2,2,0.069371
4,i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,1,1,0.078347
5,i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,1,2,0.078679
6,i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,2,1,0.069914
7,i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,2,2,0.067387
8,i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,1,1,0.076053
9,i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,1,2,0.079488
10,i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,2,1,0.073116
11,i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,2,2,0.068484
12,i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,1,1,0.082657
13,i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,1,2,0.082945
14,i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,2,1,0.076618
15,i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,2,2,0.072739
16,i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,1,1,0.083633
17,i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,1,2,0.088763
18,i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,2,1,0.07797
19,i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,2,2,0.083854
20,i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,1,1,0.073748
21,i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,1,2,0.073881
22,i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,2,1,0.069703
23,i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,2,2,0.067154
24,i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,1,1,0.073759
25,i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,1,2,0.073825
26,i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,2,1,0.071266
27,i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,2,2,0.061558
28,i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,1,1,0.070157
29,i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,1,2,0.070002
30,i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,2,1,0.068772
31,i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,2,2,0.065359
32,i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,1,1,0.079488
33,i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,1,2,0.07818
34,i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,2,1,0.073426
35,i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,2,2,0.07059
36,i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,1,1,0.079665
37,i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,1,2,0.084641
38,i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,2,1,0.07746
39,i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,2,2,0.081106
40,i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,1,1,0.068484
41,i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,1,2,0.065824
42,i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,2,1,0.072407
43,i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,2,2,0.068684
44,i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,1,1,0.064617
45,i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,1,2,0.061913
46,i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,2,1,0.069249
