dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,index,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,ring,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,middle,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,little,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,index,thumb,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,index,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,ring,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,middle,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,little,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,ring,thumb,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,index,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,ring,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,middle,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,middle,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,middle,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,middle,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,little,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,little,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,little,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,little,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,thumb,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,thumb,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,thumb,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,middle,thumb,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,index,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,index,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,index,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,index,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,ring,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,ring,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,ring,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,ring,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,middle,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,middle,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,middle,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,middle,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,little,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,little,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,little,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,little,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,thumb,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,thumb,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,little,thumb,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,little,thumb,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,index,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,index,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,index,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,index,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,ring,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,ring,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,ring,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,ring,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,middle,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,middle,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,middle,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,middle,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,little,1,1,1,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,little,1,1,1,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,little,1,1,2,1,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,little,1,1,2,2,
i,hamming_dist,max_curvature,id,0,1,left,left,thumb,thumb,1,1,1,1,
