,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.057368
1,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.057959
2,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.047275
3,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.05371
4,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.055161
5,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.060933
6,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.052642
7,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.054238
8,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.049036
9,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.044622
10,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.065855
11,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.060964
12,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.046591
13,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.046228
14,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.057337
15,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.061399
16,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.042881
17,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.051534
18,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.061378
19,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.045409
20,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.06287
21,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.051503
22,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.063782
23,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.057223
24,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.071969
25,ii,hamming_distance,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.066166
