,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.059475
1,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.060638
2,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.061082
3,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.054754
4,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.067055
5,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.06906
6,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.059009
7,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.060605
8,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.061691
9,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.049014
10,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.068506
11,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.065315
12,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.050332
13,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.043384
14,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.063885
15,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.072418
16,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.050898
17,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.056294
18,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.068019
19,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,2,2,0.056239
20,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,0.052615
21,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,2,2,0.0667
22,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,1,1,0.042742
23,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,2,2,0.075499
24,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,1,1,0.062323
25,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,2,2,0.076895
26,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,1,1,0.052416
27,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,2,2,0.079776
28,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,1,1,0.05092
29,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,2,2,0.072119
