,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.010472
1,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.013187
2,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.0125
3,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.014439
4,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.012278
5,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.014074
6,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.012733
7,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.014938
8,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.013697
9,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.016334
10,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.00871
11,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.016223
12,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.014029
13,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.017542
14,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.012533
15,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.015869
16,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.014539
