,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,5,right,right,index,index,5,5,2,2,0.00236
1,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,8,9,left,left,index,index,3,5,1,1,0.003457
2,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,4,left,left,index,index,2,5,2,2,0.002637
3,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,4,left,left,middle,middle,1,2,1,1,0.002527
4,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,14,18,right,right,index,index,2,4,1,1,0.002238
5,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,10,19,left,left,middle,middle,5,3,2,2,0.003845
6,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,11,13,left,left,index,index,5,5,1,1,0.002294
7,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,7,left,left,middle,middle,5,2,2,2,0.003369
8,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,10,right,right,index,index,3,5,2,2,0.004721
9,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,14,right,right,index,index,4,1,2,2,0.004654
10,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,8,left,left,middle,middle,4,1,1,1,0.003779
11,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,8,19,left,left,index,index,2,4,1,1,0.004167
12,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,19,left,left,index,index,1,1,2,2,0.003901
13,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,5,8,left,left,index,index,1,5,2,2,0.001596
14,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,10,right,right,middle,middle,2,5,2,2,0.002704
15,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,17,18,right,right,middle,middle,5,4,2,2,0.002748
16,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,13,17,left,left,middle,middle,4,2,1,1,0.003435
17,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,14,right,right,middle,middle,2,1,2,2,0.004588
18,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,17,right,right,index,index,5,3,2,2,0.003103
19,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,14,16,left,left,index,index,4,3,1,1,0.005086
20,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,15,16,left,left,index,index,3,5,2,2,0.00389
21,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,8,right,right,index,index,1,2,1,1,0.003779
22,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,10,right,right,middle,middle,2,2,1,1,0.005042
23,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,15,right,right,middle,middle,2,1,1,1,0.002704
24,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,13,left,left,index,index,5,2,2,2,0.001618
25,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,15,left,left,index,index,2,5,1,1,0.003347
26,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,8,right,right,index,index,5,2,1,1,0.006084
27,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,10,right,right,index,index,1,4,2,2,0.002671
28,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,7,12,right,right,index,index,2,3,1,1,0.000809
29,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,5,13,left,left,index,index,4,5,1,1,0.004355
30,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,13,right,right,index,index,2,2,2,2,0.004798
31,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,15,left,left,middle,middle,3,3,1,1,0.003746
32,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,5,11,left,left,middle,middle,2,1,2,2,0.004255
33,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,5,11,left,left,index,index,3,4,2,2,0.003768
34,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,11,14,right,right,index,index,2,1,1,1,0.004355
35,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,8,11,right,right,middle,middle,3,1,1,1,0.004178
36,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,7,left,left,index,index,1,4,1,1,0.002017
37,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,15,right,right,index,index,1,4,2,2,0.00471
38,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,13,16,right,right,index,index,1,4,1,1,0.003446
39,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,4,left,left,index,index,4,4,1,1,0.004089
40,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,10,left,left,index,index,3,1,2,2,0.005773
41,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,13,left,left,index,index,1,1,1,1,0.002216
42,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,13,16,right,right,index,index,3,1,1,1,0.00369
43,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,10,right,right,middle,middle,1,3,2,2,0.003258
44,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,7,left,left,index,index,4,4,2,2,0.004078
45,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,6,17,left,left,index,index,4,1,2,2,0.00502
46,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,5,right,right,middle,middle,1,4,2,2,0.004012
47,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,15,left,left,index,index,1,2,1,1,0.002948
48,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,14,left,left,index,index,5,3,1,1,0.007768
49,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,1,right,right,index,index,2,3,2,2,0.004687
50,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,10,right,right,middle,middle,4,5,2,2,0.004621
51,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,19,right,right,middle,middle,4,3,1,1,0.005386
52,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,14,15,left,left,index,index,1,4,2,2,0.005818
53,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,18,left,left,index,index,5,4,2,2,0.003413
54,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,8,12,left,left,middle,middle,3,5,1,1,0.003568
55,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,2,7,right,right,middle,middle,4,5,2,2,0.00338
56,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,12,16,right,right,middle,middle,3,1,2,2,0.0043
57,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,13,19,right,right,index,index,4,3,2,2,0.004887
58,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,18,right,right,index,index,5,1,2,2,0.005109
59,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,16,left,left,index,index,5,5,2,2,0.004444
60,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,18,right,right,middle,middle,1,4,1,1,0.006527
61,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,12,18,left,left,index,index,5,2,2,2,0.003535
62,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,0,12,left,left,middle,middle,5,3,1,1,0.001773
63,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,9,10,right,right,middle,middle,1,2,2,2,0.003602
64,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,1,5,right,right,middle,middle,3,2,1,1,0.003291
65,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,12,16,right,right,index,index,4,3,1,1,0.001773
66,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,8,9,right,right,index,index,5,5,1,1,0.004843
67,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,4,6,left,left,index,index,2,3,1,1,0.003812
68,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,6,14,left,left,middle,middle,1,4,1,1,0.001529
69,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,3,10,right,right,middle,middle,3,3,1,1,0.005773
70,ii,skeleton_hd,edge,translation,id,maximum_curvature,skeletonize,id,11,12,left,left,index,index,5,2,2,2,0.004555
