,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,16,left,left,middle,middle,3,2,1,1,0.004876
1,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,10,left,left,middle,middle,1,1,2,2,0.003768
2,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,8,19,left,left,middle,middle,1,1,1,1,0.003989
3,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,1,8,right,right,index,index,2,5,2,2,0.002615
4,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,6,9,left,left,index,index,5,2,2,2,0.006228
5,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,14,16,left,left,index,index,4,3,2,2,0.006073
6,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,7,right,right,middle,middle,2,1,2,2,0.003912
7,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,8,19,right,right,index,index,1,3,1,1,0.006826
8,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,7,13,left,left,middle,middle,3,1,2,2,0.002648
9,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,4,left,left,middle,middle,2,5,1,1,0.006738
10,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,6,13,right,right,middle,middle,2,1,2,2,0.002405
11,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,7,9,left,left,index,index,3,5,2,2,0.002471
12,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,11,15,left,left,middle,middle,3,4,1,1,0.001862
13,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,4,left,left,middle,middle,5,1,2,2,0.004976
14,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,3,15,right,right,index,index,4,5,1,1,0.005496
15,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,14,15,right,right,index,index,2,1,1,1,0.006084
16,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,13,14,right,right,index,index,3,2,2,2,0.006782
17,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,10,15,right,right,index,index,3,3,2,2,0.002371
18,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,11,left,left,index,index,4,1,2,2,0.008056
19,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,10,right,right,middle,middle,1,2,2,2,0.006981
20,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,12,19,left,left,middle,middle,4,1,1,1,0.007059
21,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,9,19,left,left,middle,middle,2,4,1,1,0.00676
22,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,8,right,right,middle,middle,4,4,1,1,0.00359
23,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,16,19,left,left,middle,middle,2,2,2,2,0.004854
24,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,8,left,left,index,index,2,2,1,1,0.002172
25,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,3,13,right,right,index,index,3,2,1,1,0.003158
26,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,4,left,left,index,index,5,2,2,2,0.004976
27,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,12,14,right,right,index,index,2,5,1,1,0.004433
28,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,5,12,left,left,middle,middle,2,1,1,1,0.003712
29,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,3,12,left,left,index,index,4,5,2,2,0.003779
30,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,10,13,right,right,middle,middle,1,3,1,1,0.006483
31,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,10,19,right,right,index,index,5,3,2,2,0.007015
32,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,13,16,right,right,index,index,3,2,2,2,0.004809
33,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,8,left,left,index,index,1,5,2,2,0.008821
34,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,8,left,left,index,index,4,1,2,2,0.003557
35,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,16,18,right,right,index,index,4,5,2,2,0.004566
36,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,8,right,right,index,index,2,1,2,2,0.004621
37,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,5,16,left,left,middle,middle,5,1,2,2,0.006028
38,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,7,14,left,left,middle,middle,1,3,2,2,0.0042
39,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,14,19,left,left,middle,middle,4,3,2,2,0.007846
40,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,3,9,right,right,middle,middle,3,1,2,2,0.005297
41,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,8,14,left,left,middle,middle,5,5,1,1,0.004654
42,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,11,14,right,right,middle,middle,3,2,2,2,0.006316
43,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,1,19,right,right,index,index,1,1,1,1,0.005042
44,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,6,right,right,middle,middle,5,4,1,1,0.003225
45,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,4,left,left,index,index,4,4,2,2,0.008012
46,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,5,6,right,right,index,index,5,1,2,2,0.004311
47,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,14,15,left,left,middle,middle,3,2,1,1,0.006372
48,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,12,17,left,left,middle,middle,3,5,1,1,0.006904
49,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,14,left,left,index,index,5,5,1,1,0.00451
50,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,10,right,right,middle,middle,2,1,2,2,0.004012
51,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,2,11,left,left,middle,middle,3,3,1,1,0.003136
52,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,8,16,left,left,index,index,4,3,1,1,0.004898
53,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,6,14,left,left,index,index,5,2,2,2,0.006904
54,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,9,15,right,right,middle,middle,5,4,2,2,0.006494
55,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,13,18,right,right,index,index,4,5,1,1,0.005496
56,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,10,11,left,left,middle,middle,2,3,2,2,0.003125
57,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,4,16,right,right,middle,middle,4,5,1,1,0.008898
58,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,11,14,left,left,middle,middle,5,5,1,1,0.004333
59,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,3,18,right,right,middle,middle,4,1,2,2,0.004067
60,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,8,17,right,right,middle,middle,4,4,1,1,0.003336
61,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,13,16,right,right,middle,middle,4,1,2,2,0.005098
62,ii,skeleton_hd,fingerfocus,translation,id,maximum_curvature,skeletonize,id,0,19,left,left,middle,middle,2,4,1,1,0.005153
