,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.9998866948956142
1,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.9998535544526147
2,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.9998981333574418
3,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.9998157124428387
4,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.9999329786056054
5,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.9999042049353727
6,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.9998825043474308
7,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.9998503579505841
8,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.9999093320205209
9,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.9997801066378624
10,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.999951103127564
11,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.9998816214541754
12,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.9998142522861693
13,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.999744669218152
14,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.9999123970578001
15,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.9999241292842475
16,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.9998178760798181
17,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.999823490097544
18,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.9999467882291334
