,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,1,1,0.081616
1,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,2,2,0.092819
2,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,1,1,0.053557
3,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,2,2,0.070944
4,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,1,1,0.079743
5,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,2,2,0.078092
6,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,1,1,0.065647
7,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,2,2,0.059785
8,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,1,1,0.073681
9,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,2,2,0.061325
10,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,1,1,0.096221
11,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,2,2,0.092719
12,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,1,1,0.093562
13,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,2,2,0.08156
14,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,1,1,0.075598
15,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,2,2,0.066102
16,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,1,1,0.072496
17,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,2,2,0.078081
18,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,1,1,0.081704
19,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,2,2,0.068739
20,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,1,1,0.078668
21,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,2,2,0.08197
22,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,1,1,0.070656
23,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,2,2,0.057801
24,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,1,1,0.063608
25,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,2,2,0.070058
26,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,1,1,0.084187
27,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,2,2,0.088863
28,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,1,1,0.066013
29,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,2,2,0.061126
30,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,1,1,0.063298
31,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,2,2,0.063021
32,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,1,1,0.078945
33,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,2,2,0.078757
34,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,1,1,0.058943
35,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,2,2,0.063254
