,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.011689
1,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.011845
2,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.012694
3,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.012777
4,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.012145
5,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.012912
6,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.011492
7,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.013492
8,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.01286
9,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.015959
10,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.008435
11,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.015337
12,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.011347
13,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.015451
14,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.013803
15,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.015026
16,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.013337
17,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,2,2,0.015927
18,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,1,1,0.013337
19,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,2,2,0.015326
20,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,1,1,0.01314
21,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,2,2,0.013223
22,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,1,1,0.013347
23,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,2,2,0.011078
24,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,1,1,0.004995
25,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,2,2,0.009554
26,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,1,1,0.01058
27,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,2,2,0.01085
28,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,1,1,0.013212
29,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,2,2,0.014539
30,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,1,1,0.011596
31,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,2,2,0.012
32,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,1,1,0.011244
33,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,2,2,0.013824
34,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,1,1,0.011534
35,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,2,2,0.014415
36,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,5,1,1,0.009223
37,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,5,2,2,0.01258
38,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,4,5,1,1,0.005233
39,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,4,5,2,2,0.013192
40,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,2,1,1,0.006
41,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,2,2,2,0.003482
42,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,3,1,1,0.011119
43,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,3,2,2,0.002041
44,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,4,1,1,0.005731
45,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,4,2,2,0.004694
46,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,5,1,1,0.005938
47,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,5,2,2,0.00458
48,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,3,1,1,0.011223
49,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,3,2,2,0.002197
50,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,4,1,1,0.01142
51,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,4,2,2,0.010508
52,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,5,1,1,0.012228
53,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,5,2,2,0.006
54,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,3,4,1,1,0.010839
55,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,3,4,2,2,0.004373
56,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,3,5,1,1,0.012415
57,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,3,5,2,2,0.007119
58,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,4,5,1,1,0.015523
59,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,4,5,2,2,0.009275
60,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,2,1,1,0.006891
61,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,2,2,2,0.005803
62,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,3,1,1,0.005047
63,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,3,2,2,0.008197
64,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,4,1,1,0.00372
65,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,4,2,2,0.007306
66,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,5,1,1,0.015192
67,ii,skeleton_hd,fingerfocus,huang_leftmost,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,middle,middle,1,5,2,2,0.01085
