,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.006771
1,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.008134
2,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.009231
3,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.012489
4,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.011536
5,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.008644
6,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.008145
7,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.008488
8,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.007824
9,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.016113
10,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.004843
11,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.015459
12,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.012544
13,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.016146
14,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.008887
15,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.016146
16,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.013342
17,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.016423
18,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.007835
19,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,4,5,2,2,0.016467
20,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,0.012345
21,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,2,2,2,0.0085
22,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,3,1,1,0.012744
23,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,3,2,2,0.00389
24,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,4,1,1,0.00984
25,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,4,2,2,0.002937
26,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,5,1,1,0.012101
27,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,5,2,2,0.003945
28,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,2,3,1,1,0.013531
29,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,2,3,2,2,0.014639
30,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,2,4,1,1,0.01219
