,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,1,1,0.011569
1,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,2,2,0.0126
2,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,1,1,0.012478
3,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,2,2,0.013553
4,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,1,1,0.012422
5,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,2,2,0.0125
6,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,1,1,0.012666
7,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,2,2,0.014085
8,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,1,1,0.013032
9,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,2,2,0.016223
10,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,1,1,0.012932
11,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,2,2,0.015492
12,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,1,1,0.013176
13,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,2,2,0.016146
14,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,1,1,0.012256
15,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,2,2,0.01609
16,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,1,1,0.014096
17,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,2,2,0.0165
18,ii,skeleton_hd,fingerfocus,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,4,5,1,1,0.01414
