,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,thumb,thumb,1,2,1,1,0.07336
1,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,thumb,thumb,1,2,2,2,0.084331
2,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,index,index,1,2,1,1,0.056793
3,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,index,index,1,2,2,2,0.078723
4,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,middle,middle,1,2,1,1,0.075465
5,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,middle,middle,1,2,2,2,0.079399
6,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,little,little,1,2,1,1,0.079976
7,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,little,little,1,2,2,2,0.058566
8,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,ring,ring,1,2,1,1,0.083056
9,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,left,left,ring,ring,1,2,2,2,0.070678
10,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,thumb,thumb,1,2,1,1,0.089207
11,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,thumb,thumb,1,2,2,2,0.083112
12,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,index,index,1,2,1,1,0.090559
13,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,index,index,1,2,2,2,0.079987
14,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,middle,middle,1,2,1,1,0.08115
15,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,middle,middle,1,2,2,2,0.069382
16,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,little,little,1,2,1,1,0.079832
17,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,little,little,1,2,2,2,0.090669
18,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,ring,ring,1,2,1,1,0.082646
19,i,hamming_distance,maximum_curvature,leftmost_edge,3,3,right,right,ring,ring,1,2,2,2,0.072119
20,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,thumb,thumb,1,2,1,1,0.070301
21,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,thumb,thumb,1,2,2,2,0.068495
22,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,little,little,1,2,1,1,0.067487
23,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,little,little,1,2,2,2,0.057402
24,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,ring,ring,1,2,1,1,0.058943
25,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,left,left,ring,ring,1,2,2,2,0.070523
26,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,thumb,thumb,1,2,1,1,0.077682
27,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,thumb,thumb,1,2,2,2,0.074346
28,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,index,index,1,2,1,1,0.06721
29,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,index,index,1,2,2,2,0.055109
30,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,middle,middle,1,2,1,1,0.067996
31,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,middle,middle,1,2,2,2,0.06455
32,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,little,little,1,2,1,1,0.073105
33,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,little,little,1,2,2,2,0.069592
34,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,ring,ring,1,2,1,1,0.056638
35,i,hamming_distance,maximum_curvature,leftmost_edge,5,5,right,right,ring,ring,1,2,2,2,0.058699
