dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,thumb,thumb,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,thumb,thumb,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,index,index,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,index,index,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,middle,middle,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,middle,middle,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,little,little,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,little,little,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,ring,ring,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,left,left,ring,ring,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,thumb,thumb,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,thumb,thumb,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,index,index,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,index,index,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,middle,middle,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,middle,middle,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,little,little,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,little,little,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,ring,ring,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,3,3,right,right,ring,ring,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,thumb,thumb,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,thumb,thumb,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,little,little,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,little,little,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,ring,ring,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,left,left,ring,ring,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,thumb,thumb,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,thumb,thumb,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,index,index,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,index,index,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,middle,middle,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,middle,middle,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,little,little,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,little,little,1,2,2,2,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,ring,ring,1,2,1,1,
i,hamming_distance,maximum_curvature,huang_leftmost,5,5,right,right,ring,ring,1,2,2,2,
