,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,1,1,0.076707
1,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,2,2,0.084331
2,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,1,1,0.055419
3,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,2,2,0.069947
4,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,1,1,0.078746
5,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,2,2,0.077405
6,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,1,1,0.070977
7,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,2,2,0.058566
8,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,1,1,0.075078
9,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,2,2,0.064628
10,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,1,1,0.091844
11,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,2,2,0.08637
12,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,1,1,0.092886
13,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,2,2,0.081449
14,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,1,1,0.072396
15,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,2,2,0.063996
16,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,1,1,0.073515
17,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,2,2,0.079787
18,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,1,1,0.079366
19,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,2,2,0.069215
20,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,1,1,0.076551
21,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,2,2,0.068495
22,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,1,1,0.071875
23,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,2,2,0.056184
24,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,1,1,0.059297
25,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,2,2,0.069792
26,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,1,1,0.080829
27,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,2,2,0.074346
28,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,1,1,0.065725
29,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,2,2,0.055109
30,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,1,1,0.065004
31,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,2,2,0.060162
32,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,1,1,0.075078
33,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,2,2,0.069592
34,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,1,1,0.058588
35,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,2,2,0.059984
