,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,thumb,thumb,1,2,1,1,0.081095
1,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,thumb,thumb,1,2,2,2,0.09324
2,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,index,index,1,2,1,1,0.066633
3,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,index,index,1,2,2,2,0.081804
4,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,middle,middle,1,2,1,1,0.081449
5,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,middle,middle,1,2,2,2,0.078491
6,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,little,little,1,2,1,1,0.081195
7,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,little,little,1,2,2,2,0.070822
8,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,ring,ring,1,2,1,1,0.082524
9,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,left,left,ring,ring,1,2,2,2,0.076507
10,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,thumb,thumb,1,2,1,1,0.092176
11,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,thumb,thumb,1,2,2,2,0.092021
12,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,index,index,1,2,1,1,0.090559
13,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,index,index,1,2,2,2,0.086636
14,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,middle,middle,1,2,1,1,0.086846
15,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,middle,middle,1,2,2,2,0.08709
16,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,little,little,1,2,1,1,0.084264
17,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,little,little,1,2,2,2,0.090004
18,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,ring,ring,1,2,1,1,0.081051
19,i,hamming_distance,maximum_curvature,centre_of_mass,3,3,right,right,ring,ring,1,2,2,2,0.079521
20,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,thumb,thumb,1,2,1,1,0.079876
21,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,thumb,thumb,1,2,2,2,0.08279
22,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,little,little,1,2,1,1,0.076352
23,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,little,little,1,2,2,2,0.061059
24,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,ring,ring,1,2,1,1,0.065658
25,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,left,left,ring,ring,1,2,2,2,0.072496
26,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,thumb,thumb,1,2,1,1,0.082979
27,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,thumb,thumb,1,2,2,2,0.087201
28,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,index,index,1,2,1,1,0.069337
29,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,index,index,1,2,2,2,0.059829
30,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,middle,middle,1,2,1,1,0.07398
31,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,middle,middle,1,2,2,2,0.069049
32,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,little,little,1,2,1,1,0.078624
33,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,little,little,1,2,2,2,0.079854
34,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,ring,ring,1,2,1,1,0.068672
35,i,hamming_distance,maximum_curvature,centre_of_mass,5,5,right,right,ring,ring,1,2,2,2,0.069094
