,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,id,0,1,left,left,thumb,thumb,1,1,1,1,0.067254
1,i,hamming_distance,maximum_curvature,id,0,1,left,left,thumb,thumb,1,1,2,2,0.071864
2,i,hamming_distance,maximum_curvature,id,0,1,left,left,index,index,1,1,1,1,0.067841
3,i,hamming_distance,maximum_curvature,id,0,1,left,left,index,index,1,1,2,2,0.066689
4,i,hamming_distance,maximum_curvature,id,0,1,left,left,middle,middle,1,1,1,1,0.067963
5,i,hamming_distance,maximum_curvature,id,0,1,left,left,middle,middle,1,1,2,2,0.066434
6,i,hamming_distance,maximum_curvature,id,0,1,left,left,little,little,1,1,1,1,0.075687
7,i,hamming_distance,maximum_curvature,id,0,1,left,left,little,little,1,1,2,2,0.064594
8,i,hamming_distance,maximum_curvature,id,0,1,left,left,ring,ring,1,1,1,1,0.072352
9,i,hamming_distance,maximum_curvature,id,0,1,left,left,ring,ring,1,1,2,2,0.06076
10,i,hamming_distance,maximum_curvature,id,0,1,right,right,thumb,thumb,1,1,1,1,0.074756
11,i,hamming_distance,maximum_curvature,id,0,1,right,right,thumb,thumb,1,1,2,2,0.074402
12,i,hamming_distance,maximum_curvature,id,0,1,right,right,index,index,1,1,1,1,0.068783
13,i,hamming_distance,maximum_curvature,id,0,1,right,right,index,index,1,1,2,2,0.063032
14,i,hamming_distance,maximum_curvature,id,0,1,right,right,middle,middle,1,1,1,1,0.069492
15,i,hamming_distance,maximum_curvature,id,0,1,right,right,middle,middle,1,1,2,2,0.064927
16,i,hamming_distance,maximum_curvature,id,0,1,right,right,little,little,1,1,1,1,0.068229
17,i,hamming_distance,maximum_curvature,id,0,1,right,right,little,little,1,1,2,2,0.073548
18,i,hamming_distance,maximum_curvature,id,0,1,right,right,ring,ring,1,1,1,1,0.061469
19,i,hamming_distance,maximum_curvature,id,0,1,right,right,ring,ring,1,1,2,2,0.060727
20,i,hamming_distance,maximum_curvature,id,0,2,left,left,thumb,thumb,1,1,1,1,0.067586
21,i,hamming_distance,maximum_curvature,id,0,2,left,left,thumb,thumb,1,1,2,2,0.065824
22,i,hamming_distance,maximum_curvature,id,0,2,left,left,index,index,1,1,1,1,0.0667
23,i,hamming_distance,maximum_curvature,id,0,2,left,left,index,index,1,1,2,2,0.064805
24,i,hamming_distance,maximum_curvature,id,0,2,left,left,middle,middle,1,1,1,1,0.060184
25,i,hamming_distance,maximum_curvature,id,0,2,left,left,middle,middle,1,1,2,2,0.063331
26,i,hamming_distance,maximum_curvature,id,0,2,left,left,little,little,1,1,1,1,0.056848
27,i,hamming_distance,maximum_curvature,id,0,2,left,left,little,little,1,1,2,2,0.05512
28,i,hamming_distance,maximum_curvature,id,0,2,left,left,ring,ring,1,1,1,1,0.07316
29,i,hamming_distance,maximum_curvature,id,0,2,left,left,ring,ring,1,1,2,2,0.061325
30,i,hamming_distance,maximum_curvature,id,0,2,right,right,thumb,thumb,1,1,1,1,0.066877
31,i,hamming_distance,maximum_curvature,id,0,2,right,right,thumb,thumb,1,1,2,2,0.07305
32,i,hamming_distance,maximum_curvature,id,0,2,right,right,index,index,1,1,1,1,0.070035
33,i,hamming_distance,maximum_curvature,id,0,2,right,right,index,index,1,1,2,2,0.06178
34,i,hamming_distance,maximum_curvature,id,0,2,right,right,middle,middle,1,1,1,1,0.067365
35,i,hamming_distance,maximum_curvature,id,0,2,right,right,middle,middle,1,1,2,2,0.065714
36,i,hamming_distance,maximum_curvature,id,0,2,right,right,little,little,1,1,1,1,0.05758
37,i,hamming_distance,maximum_curvature,id,0,2,right,right,little,little,1,1,2,2,0.064195
38,i,hamming_distance,maximum_curvature,id,0,2,right,right,ring,ring,1,1,1,1,0.059984
39,i,hamming_distance,maximum_curvature,id,0,2,right,right,ring,ring,1,1,2,2,0.055519
40,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,1,1,1,0.077682
41,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,1,2,2,0.076241
42,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,2,1,1,0.067376
43,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,2,2,2,0.075377
44,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,1,1,1,0.069692
45,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,1,2,2,0.070113
46,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,2,1,1,0.067021
47,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,2,2,2,0.064883
48,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,1,1,1,0.069404
49,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,1,2,2,0.070013
50,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,2,1,1,0.074834
51,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,2,2,2,0.073327
52,i,hamming_distance,maximum_curvature,id,0,3,left,left,little,little,1,1,1,1,0.077094
53,i,hamming_distance,maximum_curvature,id,0,3,left,left,little,little,1,1,2,2,0.067808
54,i,hamming_distance,maximum_curvature,id,0,3,left,left,little,little,1,2,1,1,0.075066
55,i,hamming_distance,maximum_curvature,id,0,3,left,left,little,little,1,2,2,2,0.069614
56,i,hamming_distance,maximum_curvature,id,0,3,left,left,ring,ring,1,1,1,1,0.079477
57,i,hamming_distance,maximum_curvature,id,0,3,left,left,ring,ring,1,1,2,2,0.064506
58,i,hamming_distance,maximum_curvature,id,0,3,left,left,ring,ring,1,2,1,1,0.075277
59,i,hamming_distance,maximum_curvature,id,0,3,left,left,ring,ring,1,2,2,2,0.06424
60,i,hamming_distance,maximum_curvature,id,0,3,right,right,thumb,thumb,1,1,1,1,0.082602
61,i,hamming_distance,maximum_curvature,id,0,3,right,right,thumb,thumb,1,1,2,2,0.083211
62,i,hamming_distance,maximum_curvature,id,0,3,right,right,thumb,thumb,1,2,1,1,0.084752
63,i,hamming_distance,maximum_curvature,id,0,3,right,right,thumb,thumb,1,2,2,2,0.083278
64,i,hamming_distance,maximum_curvature,id,0,3,right,right,index,index,1,1,1,1,0.080929
65,i,hamming_distance,maximum_curvature,id,0,3,right,right,index,index,1,1,2,2,0.076563
66,i,hamming_distance,maximum_curvature,id,0,3,right,right,index,index,1,2,1,1,0.086913
67,i,hamming_distance,maximum_curvature,id,0,3,right,right,index,index,1,2,2,2,0.075233
68,i,hamming_distance,maximum_curvature,id,0,3,right,right,middle,middle,1,1,1,1,0.075654
69,i,hamming_distance,maximum_curvature,id,0,3,right,right,middle,middle,1,1,2,2,0.073172
70,i,hamming_distance,maximum_curvature,id,0,3,right,right,middle,middle,1,2,1,1,0.07715
71,i,hamming_distance,maximum_curvature,id,0,3,right,right,middle,middle,1,2,2,2,0.077105
72,i,hamming_distance,maximum_curvature,id,0,3,right,right,little,little,1,1,1,1,0.07039
73,i,hamming_distance,maximum_curvature,id,0,3,right,right,little,little,1,1,2,2,0.081682
74,i,hamming_distance,maximum_curvature,id,0,3,right,right,little,little,1,2,1,1,0.076507
75,i,hamming_distance,maximum_curvature,id,0,3,right,right,little,little,1,2,2,2,0.084696
76,i,hamming_distance,maximum_curvature,id,0,3,right,right,ring,ring,1,1,1,1,0.071321
77,i,hamming_distance,maximum_curvature,id,0,3,right,right,ring,ring,1,1,2,2,0.069825
78,i,hamming_distance,maximum_curvature,id,0,3,right,right,ring,ring,1,2,1,1,0.080386
79,i,hamming_distance,maximum_curvature,id,0,3,right,right,ring,ring,1,2,2,2,0.075255
80,i,hamming_distance,maximum_curvature,id,0,4,left,left,thumb,thumb,1,1,1,1,0.074102
81,i,hamming_distance,maximum_curvature,id,0,4,left,left,thumb,thumb,1,1,2,2,0.069393
82,i,hamming_distance,maximum_curvature,id,0,4,left,left,index,index,1,1,1,1,0.067886
83,i,hamming_distance,maximum_curvature,id,0,4,left,left,index,index,1,1,2,2,0.065248
84,i,hamming_distance,maximum_curvature,id,0,4,left,left,middle,middle,1,1,1,1,0.063531
85,i,hamming_distance,maximum_curvature,id,0,4,left,left,middle,middle,1,1,2,2,0.064473
86,i,hamming_distance,maximum_curvature,id,0,4,left,left,little,little,1,1,1,1,0.065991
87,i,hamming_distance,maximum_curvature,id,0,4,left,left,little,little,1,1,2,2,0.060483
