,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.009408
1,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.008754
2,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.011647
3,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.009641
4,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.00984
5,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.008433
6,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.011425
7,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.008932
8,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.012057
9,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.009785
10,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.010527
11,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.009608
12,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.012722
13,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.010805
14,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.011115
15,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.008821
16,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.013276
17,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,2,2,0.010638
18,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,1,1,0.012821
19,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,2,2,0.01014
20,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,1,1,0.010505
21,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,2,2,0.011669
22,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,1,1,0.010871
23,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,2,2,0.009464
24,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,1,1,0.002039
25,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,2,2,0.007713
26,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,1,1,0.009774
27,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,2,2,0.009719
28,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,1,1,0.010594
29,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,2,2,0.011613
30,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,1,1,0.004876
31,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,2,2,0.009519
32,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,1,1,0.00861
33,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,2,2,0.011115
34,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,1,1,0.005053
