,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,1,1,0.066035
1,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,thumb,thumb,1,2,2,2,0.079156
2,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,1,1,0.049601
3,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,index,index,1,2,2,2,0.060594
4,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,1,1,0.069936
5,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,middle,middle,1,2,2,2,0.070944
6,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,1,1,0.061702
7,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,little,little,1,2,2,2,0.05861
8,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,1,1,0.067099
9,i,hamming_distance,maximum_curvature,miura_matching,3,3,left,left,ring,ring,1,2,2,2,0.058034
10,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,1,1,0.076574
11,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,thumb,thumb,1,2,2,2,0.076851
12,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,1,1,0.082004
13,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,index,index,1,2,2,2,0.076518
14,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,1,1,0.059774
15,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,middle,middle,1,2,2,2,0.054798
16,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,1,1,0.067609
17,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,little,little,1,2,2,2,0.074989
18,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,1,1,0.070955
19,i,hamming_distance,maximum_curvature,miura_matching,3,3,right,right,ring,ring,1,2,2,2,0.061957
20,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,1,1,0.066345
21,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,thumb,thumb,1,2,2,2,0.068816
22,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,1,1,0.06588
23,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,little,little,1,2,2,2,0.056882
24,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,1,1,0.052593
25,i,hamming_distance,maximum_curvature,miura_matching,5,5,left,left,ring,ring,1,2,2,2,0.065791
26,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,1,1,0.068141
27,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,thumb,thumb,1,2,2,2,0.073825
28,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,1,1,0.059441
29,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,index,index,1,2,2,2,0.055929
30,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,1,1,0.055197
31,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,middle,middle,1,2,2,2,0.056915
32,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,1,1,0.069736
33,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,little,little,1,2,2,2,0.068495
34,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,1,1,0.050255
35,i,hamming_distance,maximum_curvature,miura_matching,5,5,right,right,ring,ring,1,2,2,2,0.057635
