,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.9997264455461287
1,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.999765533698113
2,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.9997573146392065
3,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.9997636485483833
4,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.9997943971088686
5,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.9997637433508834
6,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.9997049813367496
7,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.999755854834718
8,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.9997171985913647
9,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.9996345029239766
10,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.9997445327504004
11,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.9996201826187325
12,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.9996227813933333
13,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.9995863290650812
14,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.9998090390186992
