,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_distance,maximum_curvature,id,0,1,left,left,thumb,thumb,1,1,1,1,0.066545
1,i,hamming_distance,maximum_curvature,id,0,1,left,left,thumb,thumb,1,1,2,2,0.070678
2,i,hamming_distance,maximum_curvature,id,0,1,left,left,index,index,1,1,1,1,0.065836
3,i,hamming_distance,maximum_curvature,id,0,1,left,left,index,index,1,1,2,2,0.064683
4,i,hamming_distance,maximum_curvature,id,0,1,left,left,middle,middle,1,1,1,1,0.063176
5,i,hamming_distance,maximum_curvature,id,0,1,left,left,middle,middle,1,1,2,2,0.066822
6,i,hamming_distance,maximum_curvature,id,0,1,left,left,little,little,1,1,1,1,0.073504
7,i,hamming_distance,maximum_curvature,id,0,1,left,left,little,little,1,1,2,2,0.06219
8,i,hamming_distance,maximum_curvature,id,0,1,left,left,ring,ring,1,1,1,1,0.067387
9,i,hamming_distance,maximum_curvature,id,0,1,left,left,ring,ring,1,1,2,2,0.059918
10,i,hamming_distance,maximum_curvature,id,0,1,right,right,thumb,thumb,1,1,1,1,0.066888
11,i,hamming_distance,maximum_curvature,id,0,1,right,right,thumb,thumb,1,1,2,2,0.071853
12,i,hamming_distance,maximum_curvature,id,0,1,right,right,index,index,1,1,1,1,0.062744
13,i,hamming_distance,maximum_curvature,id,0,1,right,right,index,index,1,1,2,2,0.061503
14,i,hamming_distance,maximum_curvature,id,0,1,right,right,middle,middle,1,1,1,1,0.063508
15,i,hamming_distance,maximum_curvature,id,0,1,right,right,middle,middle,1,1,2,2,0.062932
16,i,hamming_distance,maximum_curvature,id,0,1,right,right,little,little,1,1,1,1,0.063165
17,i,hamming_distance,maximum_curvature,id,0,1,right,right,little,little,1,1,2,2,0.070734
18,i,hamming_distance,maximum_curvature,id,0,1,right,right,ring,ring,1,1,1,1,0.059707
19,i,hamming_distance,maximum_curvature,id,0,1,right,right,ring,ring,1,1,2,2,0.058012
20,i,hamming_distance,maximum_curvature,id,0,2,left,left,thumb,thumb,1,1,1,1,0.064273
21,i,hamming_distance,maximum_curvature,id,0,2,left,left,thumb,thumb,1,1,2,2,0.063065
22,i,hamming_distance,maximum_curvature,id,0,2,left,left,index,index,1,1,1,1,0.065403
23,i,hamming_distance,maximum_curvature,id,0,2,left,left,index,index,1,1,2,2,0.064883
24,i,hamming_distance,maximum_curvature,id,0,2,left,left,middle,middle,1,1,1,1,0.057735
25,i,hamming_distance,maximum_curvature,id,0,2,left,left,middle,middle,1,1,2,2,0.063542
26,i,hamming_distance,maximum_curvature,id,0,2,left,left,little,little,1,1,1,1,0.054754
27,i,hamming_distance,maximum_curvature,id,0,2,left,left,little,little,1,1,2,2,0.054876
28,i,hamming_distance,maximum_curvature,id,0,2,left,left,ring,ring,1,1,1,1,0.068185
29,i,hamming_distance,maximum_curvature,id,0,2,left,left,ring,ring,1,1,2,2,0.059774
30,i,hamming_distance,maximum_curvature,id,0,2,right,right,thumb,thumb,1,1,1,1,0.060184
31,i,hamming_distance,maximum_curvature,id,0,2,right,right,thumb,thumb,1,1,2,2,0.069758
32,i,hamming_distance,maximum_curvature,id,0,2,right,right,index,index,1,1,1,1,0.065049
33,i,hamming_distance,maximum_curvature,id,0,2,right,right,index,index,1,1,2,2,0.05738
34,i,hamming_distance,maximum_curvature,id,0,2,right,right,middle,middle,1,1,1,1,0.062965
35,i,hamming_distance,maximum_curvature,id,0,2,right,right,middle,middle,1,1,2,2,0.062478
36,i,hamming_distance,maximum_curvature,id,0,2,right,right,little,little,1,1,1,1,0.054931
37,i,hamming_distance,maximum_curvature,id,0,2,right,right,little,little,1,1,2,2,0.061259
38,i,hamming_distance,maximum_curvature,id,0,2,right,right,ring,ring,1,1,1,1,0.058876
39,i,hamming_distance,maximum_curvature,id,0,2,right,right,ring,ring,1,1,2,2,0.054322
40,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,1,1,1,0.071099
41,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,1,2,2,0.073471
42,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,2,1,1,0.061203
43,i,hamming_distance,maximum_curvature,id,0,3,left,left,thumb,thumb,1,2,2,2,0.074701
44,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,1,1,1,0.064184
45,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,1,2,2,0.066246
46,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,2,1,1,0.061636
47,i,hamming_distance,maximum_curvature,id,0,3,left,left,index,index,1,2,2,2,0.063475
48,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,1,1,1,0.066013
49,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,1,2,2,0.071986
50,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,2,1,1,0.068639
51,i,hamming_distance,maximum_curvature,id,0,3,left,left,middle,middle,1,2,2,2,0.070346
