,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,thumb,thumb,1,2,1,1,1925.8
1,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,thumb,thumb,1,2,2,2,1920.4
2,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,index,index,1,2,1,1,1784.6
3,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,index,index,1,2,2,2,1940.2
4,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,middle,middle,1,2,1,1,1918.8
5,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,middle,middle,1,2,2,2,1912.2
6,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,little,little,1,2,1,1,1886.4
7,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,little,little,1,2,2,2,1811.8
8,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,ring,ring,1,2,1,1,1934.8
9,i,hamming_dist_subsampled,maximum_curvature,id,3,3,left,left,ring,ring,1,2,2,2,1918.8
10,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,thumb,thumb,1,2,1,1,1928.0
11,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,thumb,thumb,1,2,2,2,1936.0
12,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,index,index,1,2,1,1,1930.2
13,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,index,index,1,2,2,2,1898.6
14,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,middle,middle,1,2,1,1,1899.6
15,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,middle,middle,1,2,2,2,1863.6
16,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,little,little,1,2,1,1,1918.6
17,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,little,little,1,2,2,2,1925.8
18,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,ring,ring,1,2,1,1,1899.8
19,i,hamming_dist_subsampled,maximum_curvature,id,3,3,right,right,ring,ring,1,2,2,2,1876.4
20,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,thumb,thumb,1,2,1,1,1933.2
21,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,thumb,thumb,1,2,2,2,1908.8
22,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,little,little,1,2,1,1,1882.2
23,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,little,little,1,2,2,2,1878.8
24,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,ring,ring,1,2,1,1,1892.6
25,i,hamming_dist_subsampled,maximum_curvature,id,5,5,left,left,ring,ring,1,2,2,2,1900.2
26,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,thumb,thumb,1,2,1,1,1922.4
27,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,thumb,thumb,1,2,2,2,1925.0
28,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,index,index,1,2,1,1,1894.2
29,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,index,index,1,2,2,2,1817.8
30,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,middle,middle,1,2,1,1,1918.2
31,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,middle,middle,1,2,2,2,1933.4
32,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,little,little,1,2,1,1,1944.8
33,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,little,little,1,2,2,2,1960.2
34,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,ring,ring,1,2,1,1,1839.6
35,i,hamming_dist_subsampled,maximum_curvature,id,5,5,right,right,ring,ring,1,2,2,2,1863.8
