,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,1,1,0.011115
1,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,2,2,2,0.008832
2,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,1,1,0.01127
3,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,3,2,2,0.010816
4,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,1,1,0.010483
5,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,4,2,2,0.008411
6,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,1,1,0.011336
7,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,1,5,2,2,0.010084
8,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,1,1,0.012511
9,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,3,2,2,0.011348
10,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,1,1,0.01209
11,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,4,2,2,0.009984
12,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,1,1,0.012677
13,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,2,5,2,2,0.010849
14,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,1,1,0.011104
15,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,4,2,2,0.010505
16,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,1,1,0.01322
17,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,3,5,2,2,0.010716
18,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,4,5,1,1,0.012977
19,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,index,index,4,5,2,2,0.010151
20,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.010705
21,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.011724
22,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.011613
23,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.010129
24,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.008821
25,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,4,2,2,0.008655
26,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,5,1,1,0.00953
27,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,1,5,2,2,0.011026
28,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,3,1,1,0.010705
29,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,3,2,2,0.011724
30,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,4,1,1,0.009419
31,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,4,2,2,0.01025
32,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,5,1,1,0.009475
33,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,2,5,2,2,0.012179
34,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,4,1,1,0.011093
35,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,4,2,2,0.009885
36,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,5,1,1,0.010882
37,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,3,5,2,2,0.011203
38,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,4,5,1,1,0.010738
39,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,miura_matching,0,0,left,left,middle,middle,4,5,2,2,0.010782
