,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.000465
1,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.000477
2,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.001385
3,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.001219
4,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.001363
5,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.000754
6,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.001042
7,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.001164
8,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.001197
9,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.002959
10,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.001928
11,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.00041
12,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.000997
13,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.001518
14,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.001075
15,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.0
