,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,thumb,thumb,1,1,1,1,1886.0
1,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,thumb,thumb,1,1,2,2,1910.8
2,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,index,index,1,1,1,1,1861.8
3,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,index,index,1,1,2,2,1885.2
4,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,middle,middle,1,1,1,1,1895.8
5,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,middle,middle,1,1,2,2,1900.4
6,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,little,little,1,1,1,1,1876.0
7,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,little,little,1,1,2,2,1847.0
8,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,ring,ring,1,1,1,1,1900.4
9,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,left,left,ring,ring,1,1,2,2,1876.4
10,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,thumb,thumb,1,1,1,1,1912.0
11,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,thumb,thumb,1,1,2,2,1883.0
12,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,index,index,1,1,1,1,1901.0
13,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,index,index,1,1,2,2,1854.2
14,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,middle,middle,1,1,1,1,1892.4
15,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,middle,middle,1,1,2,2,1881.0
16,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,little,little,1,1,1,1,1871.6
17,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,little,little,1,1,2,2,1876.2
18,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,ring,ring,1,1,1,1,1880.2
19,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,1,right,right,ring,ring,1,1,2,2,1859.6
20,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,thumb,thumb,1,1,1,1,1860.0
21,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,thumb,thumb,1,1,2,2,1885.2
22,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,index,index,1,1,1,1,1895.2
23,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,index,index,1,1,2,2,1884.4
24,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,middle,middle,1,1,1,1,1851.0
25,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,middle,middle,1,1,2,2,1903.8
26,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,little,little,1,1,1,1,1859.2
27,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,little,little,1,1,2,2,1821.6
28,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,ring,ring,1,1,1,1,1883.4
29,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,left,left,ring,ring,1,1,2,2,1879.4
30,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,thumb,thumb,1,1,1,1,1916.0
31,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,thumb,thumb,1,1,2,2,1907.8
32,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,index,index,1,1,1,1,1893.8
33,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,index,index,1,1,2,2,1862.2
34,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,middle,middle,1,1,1,1,1902.8
35,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,middle,middle,1,1,2,2,1885.0
36,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,little,little,1,1,1,1,1838.4
37,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,little,little,1,1,2,2,1848.0
38,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,ring,ring,1,1,1,1,1823.4
39,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,2,right,right,ring,ring,1,1,2,2,1813.0
40,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,thumb,thumb,1,1,1,1,1868.8
41,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,thumb,thumb,1,1,2,2,1910.2
42,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,thumb,thumb,1,2,1,1,1843.6
43,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,thumb,thumb,1,2,2,2,1909.8
44,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,index,index,1,1,1,1,1865.6
45,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,index,index,1,1,2,2,1896.6
46,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,index,index,1,2,1,1,1874.2
47,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,index,index,1,2,2,2,1886.8
48,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,middle,middle,1,1,1,1,1892.6
49,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,middle,middle,1,1,2,2,1890.4
50,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,middle,middle,1,2,1,1,1912.6
51,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,middle,middle,1,2,2,2,1896.2
52,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,little,little,1,1,1,1,1894.2
53,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,little,little,1,1,2,2,1875.2
54,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,little,little,1,2,1,1,1894.6
55,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,little,little,1,2,2,2,1882.0
56,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,ring,ring,1,1,1,1,1902.2
57,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,ring,ring,1,1,2,2,1861.6
58,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,ring,ring,1,2,1,1,1915.4
59,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,left,left,ring,ring,1,2,2,2,1887.2
60,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,thumb,thumb,1,1,1,1,1926.2
61,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,thumb,thumb,1,1,2,2,1911.8
62,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,thumb,thumb,1,2,1,1,1929.0
63,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,thumb,thumb,1,2,2,2,1920.2
64,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,index,index,1,1,1,1,1906.8
65,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,index,index,1,1,2,2,1887.0
66,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,index,index,1,2,1,1,1910.4
67,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,index,index,1,2,2,2,1907.6
68,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,middle,middle,1,1,1,1,1903.6
69,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,middle,middle,1,1,2,2,1896.0
70,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,middle,middle,1,2,1,1,1911.8
71,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,middle,middle,1,2,2,2,1906.8
72,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,little,little,1,1,1,1,1866.4
73,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,little,little,1,1,2,2,1891.0
74,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,little,little,1,2,1,1,1889.6
75,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,little,little,1,2,2,2,1902.2
76,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,ring,ring,1,1,1,1,1865.6
77,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,ring,ring,1,1,2,2,1862.0
78,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,ring,ring,1,2,1,1,1881.6
79,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,3,right,right,ring,ring,1,2,2,2,1882.6
80,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,thumb,thumb,1,1,1,1,1879.2
81,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,thumb,thumb,1,1,2,2,1906.4
82,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,index,index,1,1,1,1,1878.4
83,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,index,index,1,1,2,2,1849.2
84,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,middle,middle,1,1,1,1,1869.6
85,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,middle,middle,1,1,2,2,1877.6
86,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,little,little,1,1,1,1,1876.6
87,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,little,little,1,1,2,2,1839.4
88,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,ring,ring,1,1,1,1,1887.6
89,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,left,left,ring,ring,1,1,2,2,1865.2
90,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,thumb,thumb,1,1,1,1,1919.8
91,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,thumb,thumb,1,1,2,2,1912.4
92,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,index,index,1,1,1,1,1894.4
93,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,index,index,1,1,2,2,1889.0
94,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,middle,middle,1,1,1,1,1888.0
95,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,middle,middle,1,1,2,2,1886.8
96,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,little,little,1,1,1,1,1889.8
97,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,little,little,1,1,2,2,1860.4
98,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,ring,ring,1,1,1,1,1836.0
99,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,4,right,right,ring,ring,1,1,2,2,1859.0
100,i,hamming_dist_subsampled,maximum_curvature,miura_matching,0,5,left,left,thumb,thumb,1,1,1,1,1876.8
