,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.882442054234207
1,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.8511228533685601
2,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.8202653799758746
3,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.8344945444984883
4,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.8568710668813113
5,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.8621458551941238
6,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.8392613894354473
7,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.8310079541009259
8,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.8332058148431523
9,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.7611015944129661
10,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.8270486935866983
11,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.8459111227977912
12,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.7596006144393241
13,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.7600313684485688
14,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.8461652135362789
15,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.8762266125866807
16,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.7572236661061
17,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.810483870967742
18,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.7954612874517948
19,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.7570408825438028
20,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.8988028953229399
21,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.81671768933848
22,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.8893009202032688
23,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.8506207448938726
24,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.9455084974372808
25,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.8991739871509112
26,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.8207940033314824
27,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.8798972382787411
28,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.7135955831608005
29,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.7727150897882605
30,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.9193548387096774
31,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.8456172677020268
32,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.8530970982142857
33,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.8438628158844765
34,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.9206688963210703
35,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.768611404435058
36,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.8529938059187887
37,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.865399534522886
38,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.9479589078129225
39,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.8696315120711563
40,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,0.9484143187695658
41,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,0.9541551448115267
42,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,0.8756469807564699
43,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,0.9546427043217801
44,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,0.924580236718965
45,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,2,2,0.9498696030136192
46,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,1,1,0.92157394843962
47,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,2,2,0.9617422012948793
48,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,1,1,0.9083585095669688
49,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,2,2,0.9370999165043139
50,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,1,1,0.869185667752443
51,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,2,2,0.8533276812208563
52,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,1,1,0.8718344260187685
53,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,2,2,0.8617128102137427
54,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,1,1,0.9018186442833525
55,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,2,2,0.9387557156713315
56,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,1,1,0.8811346805572988
57,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,2,2,0.8945296020250316
58,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,1,1,0.7248636009353079
59,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,2,2,0.849043130534133
60,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,1,1,0.930759162303665
61,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,2,2,0.9273877292852625
62,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,1,1,0.9258775936317369
63,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,2,2,0.9291518537328594
64,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,1,1,0.9313077939233818
65,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,2,2,0.9253807106598985
66,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,1,1,0.7839514149114872
67,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,2,2,0.8799151167145175
68,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,1,1,0.8151748346159039
69,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,2,2,0.8195816758629539
70,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,1,1,0.7217664752529396
71,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,2,2,0.7752981916121585
72,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,1,1,0.9367900574635841
73,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,2,2,0.9281029263370333
74,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,1,1,0.7792013084366908
75,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,2,2,0.7677651905252317
76,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,5,1,1,0.9231281641353584
77,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,5,2,2,0.8669451829345487
78,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,4,5,1,1,0.9312019425333873
79,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,4,5,2,2,0.8925724408452487
80,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,2,1,1,0.882828778036524
81,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,2,2,2,0.8850054992056703
82,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,3,1,1,0.9155719933681928
83,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,3,2,2,0.9376389231909114
84,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,4,1,1,0.9187301587301587
85,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,4,2,2,0.9401064224724662
86,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,5,1,1,0.9035532994923858
87,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,5,2,2,0.9353980159690297
88,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,3,1,1,0.885464693035671
89,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,3,2,2,0.9332123411978221
90,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,4,1,1,0.8927017883035283
91,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,4,2,2,0.9342870999030068
92,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,5,1,1,0.8746166548714319
93,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,2,5,2,2,0.9258863986718843
94,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,3,4,1,1,0.7787132445338025
95,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,3,4,2,2,0.8024010780350361
96,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,3,5,1,1,0.8420343137254902
97,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,3,5,2,2,0.8992573071394346
98,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,4,5,1,1,0.8539175006102026
99,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,4,5,2,2,0.9175369103348938
100,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,2,1,1,0.8924319727891157
101,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,2,2,2,0.8946778013212016
102,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,3,1,1,0.8694281209688978
103,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,3,2,2,0.821769573520051
104,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,4,1,1,0.9148366363149437
105,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,1,1,left,left,middle,middle,1,4,2,2,0.9136771300448431
