,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,-3251.1964765601674
1,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,-3775.2970479704795
2,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,-3282.3645864437144
3,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,-3812.331839746969
4,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,-3483.1988653329354
5,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,-3829.277016341592
6,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,-3257.293221857271
7,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,-3874.3415919873482
8,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,-3282.2939729397294
9,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,-3812.4801377118642
10,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,-3483.223247232472
11,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,-3829.3103813559323
12,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,-3257.3628536285364
13,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,-3874.486228813559
14,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,-3483.2144380140116
15,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,-3829.248098610018
16,ii,miura_distance,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,-3257.398416082851
