,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,thumb,thumb,1,1,1,1,0.9998879024302754
1,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,thumb,thumb,1,1,2,2,0.9999045679027774
2,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,index,index,1,1,1,1,0.9998656941359716
3,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,index,index,1,1,2,2,0.9998885429692368
4,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,middle,middle,1,1,1,1,0.9998880437463573
5,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,middle,middle,1,1,2,2,0.9998982059347903
6,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,little,little,1,1,1,1,0.9998700037219604
7,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,little,little,1,1,2,2,0.9998438844692596
8,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,ring,ring,1,1,1,1,0.9998966651615222
9,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,left,left,ring,ring,1,1,2,2,0.9998738755641723
10,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,thumb,thumb,1,1,1,1,0.9999151135434773
11,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,thumb,thumb,1,1,2,2,0.9998846769802217
12,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,index,index,1,1,1,1,0.9999038749250664
13,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,index,index,1,1,2,2,0.9998466149090308
14,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,middle,middle,1,1,1,1,0.9998858035355644
15,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,middle,middle,1,1,2,2,0.9998792543636961
16,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,little,little,1,1,1,1,0.9998750701498843
17,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,1,right,right,little,little,1,1,2,2,0.9998765924092476
