,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,-3392.22499291584
1,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,-4000.298888327438
2,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,-3424.3281382827995
3,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,-3944.343607882769
4,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,-3711.3627089827146
5,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,-4013.2642748863063
6,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,-3450.2881836214224
7,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,-4015.346134411319
8,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,-3424.3563218390805
9,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,-3944.4548862784304
10,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,-3711.1329207191275
11,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,-4013.2664333916523
12,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,-3450.501326259947
13,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,-4015.4443889027743
14,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,-3711.2645255474454
15,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,-4013.257794676806
16,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,-3450.4756204379564
17,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,-4015.3787072243344
18,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,-3450.1575969827586
19,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,-4015.4544095665174
20,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,-3737.233501192685
21,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,-3878.362003541614
22,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,-3889.2268751656507
23,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,-3894.2942069314445
24,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,-4013.1192684866155
25,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,-4045.2041487477863
26,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,-3751.3731778425654
27,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,-4126.246395142929
28,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,-3889.5123060460137
29,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,-3894.4434132508377
30,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,-4013.213215623328
31,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,-4045.3029131219387
32,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,-3751.2573568753346
33,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,-4126.326372776489
34,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,-4013.208997429306
35,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,-4045.4544287548138
36,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,-3751.152442159383
37,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,-4126.295250320924
38,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,-3751.1013951170903
39,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,-4126.253583786456
40,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,-4126.093060785369
41,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,-3639.0740634005765
42,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,-4228.215976331361
43,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,-3761.0801152737754
44,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,-3925.1059709521246
45,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,2,2,-3748.1037463976945
46,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,1,1,-4056.109198493814
47,ii,miura_distance,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,2,2,-3540.1386167146975
