,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,-3251.1842340997314
1,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,-3775.2764891934635
2,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,-3282.1672140937594
3,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,-3812.351344227728
4,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,-3483.1167512690354
5,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,-3829.1834475487613
6,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,-3257.1914004180353
7,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,-3874.2899314707433
8,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,-3282.148831488315
9,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,-3812.4192266949153
10,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,-3483.0851783517837
11,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,-3829.226694915254
12,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,-3257.3025830258302
13,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,-3874.4947033898306
14,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,-3483.152604325312
15,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,-3829.145292420666
16,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,-3257.2966798659763
17,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,2,2,-3874.3419879360085
18,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,1,1,-3257.0866819747416
19,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,2,2,-3874.3433420365536
20,ii,miura_distance,fingerfocus,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,-3573.3373961218836
