,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.055951
1,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.05891
2,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.047074
3,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.056394
4,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.054045
5,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.061192
6,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.049679
7,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.056261
8,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.04826
9,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.043916
10,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.048825
11,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.058311
12,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.037456
13,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.044094
14,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.051917
15,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.06373
16,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.037289
17,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.052903
18,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.044149
19,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.043894
20,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.063497
21,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.052737
22,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.062821
23,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.058211
24,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.073205
25,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.067476
26,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.051219
27,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.065547
28,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.034297
29,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.045102
30,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.068573
31,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.0582
32,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.056095
33,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.059109
34,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.069692
35,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.045102
36,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.056837
37,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.062633
38,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.073449
39,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.064473
40,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,0.073016
41,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,0.06916
42,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,0.062733
43,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,0.070645
44,ii,hamming_distance,fingerfocus,id,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,0.068373
