,dataset_id,score_function,feature_extractor,alignment,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,score
0,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,2,1,1,0.9996625821964144
1,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,2,2,2,0.9997102013752683
2,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,3,1,1,0.9997052167556888
3,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,3,2,2,0.9997112621202762
4,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,4,1,1,0.9997690493725468
5,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,4,2,2,0.9997091852713526
6,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,5,1,1,0.9996300343332326
7,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,1,5,2,2,0.9997014844863878
8,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,1,1,1,0.9996625821964144
9,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,1,2,2,0.9997102013752683
10,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,3,1,1,0.999632169868119
11,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,3,2,2,0.999560162420349
12,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,4,1,1,0.9996812462126489
13,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,4,2,2,0.999547148851963
14,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,5,1,1,0.9995262691425978
15,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,2,5,2,2,0.9994968522290788
16,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,1,1,1,0.9997052167556888
17,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,1,2,2,0.9997112621202762
18,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,2,1,1,0.999632169868119
19,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,2,2,2,0.999560162420349
20,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,4,1,1,0.9997583708893175
21,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,4,2,2,0.9995752595598598
22,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,5,1,1,0.9995840863454206
23,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,3,5,2,2,0.9995165640763582
24,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,1,1,1,0.9997690493725468
25,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,1,2,2,0.9997091852713526
26,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,2,1,1,0.9996812462126489
27,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,2,2,2,0.999547148851963
28,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,3,1,1,0.9997583708893175
29,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,3,2,2,0.9995752595598598
30,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,5,1,1,0.9996999835118417
31,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,4,5,2,2,0.9995657670781064
32,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,1,1,1,0.9996300343332326
33,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,1,2,2,0.9997014844863878
34,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,2,1,1,0.9995262691425978
35,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,2,2,2,0.9994968522290788
36,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,3,1,1,0.9995840863454206
37,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,3,2,2,0.9995165640763582
38,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,4,1,1,0.9997050829422354
39,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,index,index,5,4,2,2,0.9995657670781064
40,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.9995968126904858
41,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.9997167152537281
42,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.9996328355772167
43,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.9997566383792658
44,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.9997502479064806
45,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,4,2,2,0.9998170515332567
46,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,5,1,1,0.9997228101107961
47,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,1,5,2,2,0.9998295700171175
48,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,1,1,1,0.9995968126904858
49,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,1,2,2,0.9997167152537281
50,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,3,1,1,0.9995976318163368
51,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,3,2,2,0.9996017331148215
52,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,4,1,1,0.99972889950801
53,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,4,2,2,0.9997383577026969
54,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,5,1,1,0.999695625894459
55,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,2,5,2,2,0.9997421242455026
56,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,1,1,1,0.9996328355772167
57,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,1,2,2,0.9997468822341139
58,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,2,1,1,0.9995976318163368
59,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,2,2,2,0.9996017331148215
60,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,4,1,1,0.999762815768114
61,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,4,2,2,0.9996315014717114
62,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,5,1,1,0.9996791058413528
63,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,3,5,2,2,0.9996913142187621
64,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,1,1,1,0.9997502479064806
65,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,1,2,2,0.9998042369610706
66,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,2,1,1,0.9997110542997907
67,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,2,2,2,0.9997383577026969
68,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,3,1,1,0.999762815768114
69,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,3,2,2,0.9996315014717114
70,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,5,1,1,0.9996486040045647
71,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,4,5,2,2,0.9996618203555059
72,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,1,1,1,0.9997228101107961
73,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,1,2,2,0.9998320117074166
74,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,2,1,1,0.999695625894459
75,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,2,2,2,0.9997587268382117
76,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,3,1,1,0.9996791058413528
77,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,3,2,2,0.9996913142187621
78,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,4,1,1,0.9996486040045647
79,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,left,left,middle,middle,5,4,2,2,0.9996618203555059
80,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,2,1,1,0.9998448701993023
81,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,2,2,2,0.9998329238475848
82,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,3,1,1,0.9998180989072523
83,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,3,2,2,0.9998554288536148
84,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,4,1,1,0.9998578188685299
85,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,4,2,2,0.999796365102886
86,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,5,1,1,0.9998262687044038
87,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,1,5,2,2,0.9997819134047642
88,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,2,1,1,1,0.9998448701993023
89,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,2,1,2,2,0.99983501229949
90,i,hamming_dist_sub_blur,maximum_curvature,miura_matching,0,0,right,right,index,index,2,3,1,1,0.9997305389082171
