,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.8330385567739653
1,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.8921837504285225
2,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.870107073898543
3,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.8973702185792349
4,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.8873215499660095
5,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.8497435897435898
6,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.8157436433298502
7,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.8696021761305679
8,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.8631467420095356
9,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.8129982668977469
10,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.8998290598290598
11,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.7912907702984039
12,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.80395935529082
13,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.7643202208419599
14,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.8454098082470728
15,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.7983062564811614
16,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.7826464962615197
17,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.8281196287383981
18,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.8019535197036038
19,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.7379559532002753
20,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.8162992651970608
21,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.8282590412111017
22,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.7529122231337162
23,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.8758679085520745
24,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.8414990266061
25,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.940089228808158
26,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.8470059399582598
27,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.8837555886736215
28,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.808237452059363
29,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.8019784796945505
30,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.765743488295417
31,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.944399152127833
32,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.8675583102267167
33,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.8541383989145184
34,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.8007451806253038
35,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.9268012473330051
36,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.8360051298493106
37,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.8702185792349727
38,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.8228951958141747
39,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.8832503613296933
40,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,0.905521472392638
41,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,0.9732968161588497
42,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,0.9235910679021723
43,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,0.9014109040236893
44,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,0.9076348934846836
45,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,2,2,0.9728155339805825
46,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,1,1,0.9047545059042884
47,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,2,2,0.9712734279208267
48,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,1,1,0.8790711260406017
49,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,2,2,0.922174288179465
50,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,1,1,0.886034353995519
51,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,2,2,0.9265605875152999
52,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,1,1,0.8765671641791045
53,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,2,2,0.9172306090577824
54,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,1,1,0.9200947025747263
55,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,2,2,0.9498042007831968
56,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,1,1,0.9234067721425403
57,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,2,2,0.9660897209466619
58,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,1,1,0.7186507336257753
59,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,2,2,0.7713927676333692
60,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,1,1,0.9474905715114592
61,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,2,2,0.9407854984894259
62,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,1,1,0.9367425362104641
63,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,2,2,0.927833485262838
64,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,1,1,0.9498035792230467
65,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,2,2,0.9342874730686365
66,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,1,1,0.8144076377838855
67,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,2,2,0.9201649727500368
68,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,1,1,0.8298798798798799
69,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,2,2,0.8559890277354465
70,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,1,1,0.7402098418797103
71,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,2,2,0.8226304414942883
72,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,1,1,0.9099456441898046
73,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,2,2,0.8679273157039444
74,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,1,1,0.7962042476276547
75,ii,miura_distance,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,2,2,0.7498447204968944
