,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.7819033886085076
1,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.7876153300212917
2,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.8153266331658291
3,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.815288888888889
4,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.8068161751721702
5,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.8032440056417489
6,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.7837934743635712
7,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.7712235252931909
8,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.7557973599714591
9,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.7486680139628881
10,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.7614533965244865
11,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.7413479052823315
12,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.75
13,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.7241005243174833
14,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.7860513896171998
15,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,2,2,0.7008578207702135
16,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,1,1,0.7262242725337118
17,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,2,2,0.6927536231884057
18,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,1,1,0.7407019381875327
19,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,2,2,0.6978624034488953
20,ii,miura_distance,edge,translation,id,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.7099035933391762
