,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,1,1,0.8819969742813918
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,2,2,0.9645578005962239
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,1,1,0.9521651560926485
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,2,2,0.9613912464636378
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,1,1,0.9519183270212416
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,2,2,0.9606907894736842
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,1,1,0.886893774123175
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,2,2,0.9092550049228749
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,1,1,0.9508579043811427
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,2,2,0.9677530608725642
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,1,1,0.9406668846028113
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,2,2,0.9637137989778535
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,1,1,0.7418387741505663
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,2,2,0.9622705642420122
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,1,1,0.7853762036885915
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,2,2,0.7057010785824345
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,1,1,0.9517711624812906
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,2,2,0.9661827497865072
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,1,1,0.9477806788511749
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,2,2,0.9652379345258184
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,1,1,0.745385629531971
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,2,2,0.810648972325619
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,1,1,0.8145412768751026
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,2,2,0.9603663613655288
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,1,1,0.8116677235256817
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,2,2,0.964564470808617
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,1,1,0.8088283557597638
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,2,2,0.9600528227137669
28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,1,1,0.7544266093000165
29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,3,2,2,0.965021966880703
30,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,1,1,0.7674976030680729
31,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,4,2,2,0.9686659281531887
32,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,1,1,0.8193249503639973
33,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,2,5,2,2,0.9641601071847262
34,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,1,1,0.7300652554512176
35,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,4,2,2,0.7625711960943857
36,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,5,1,1,0.8045806557917284
37,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,3,5,2,2,0.9630843539761946
38,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,4,5,1,1,0.7662316995544239
39,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,4,5,2,2,0.9636979670861568
40,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,2,1,1,0.9496106948729249
41,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,2,2,2,0.9649869109947644
42,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,3,1,1,0.9521982885807023
43,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,3,2,2,0.9187237615449202
44,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,4,1,1,0.9512996713474754
45,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,4,2,2,0.9592926259592927
46,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,5,1,1,0.9406296851574213
47,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,1,5,2,2,0.881809177946517
48,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,right,right,index,index,2,3,1,1,0.870456795361335
