,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,7,left,left,middle,middle,4,2,2,2,0.9503577817531306
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,11,left,left,middle,middle,1,1,2,2,0.9197470133520731
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,13,left,left,index,index,3,3,1,1,0.9713176986671166
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,13,left,left,index,index,1,5,1,1,0.9725551502518673
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,17,left,left,index,index,1,4,1,1,0.9537351443123939
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,15,right,right,middle,middle,1,1,2,2,0.9553571428571429
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,17,left,left,index,index,2,1,1,1,0.9333132166566083
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,15,16,right,right,index,index,5,2,2,2,0.9640700927698425
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,14,left,left,index,index,4,3,2,2,0.9591577879249112
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,19,right,right,middle,middle,3,2,1,1,0.9523519376066293
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,18,right,right,middle,middle,3,4,1,1,0.9376108156028369
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,10,left,left,middle,middle,2,4,2,2,0.9553599011430337
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,15,17,left,left,index,index,2,4,2,2,0.9483964629800713
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,18,right,right,middle,middle,3,1,2,2,0.9767992424242424
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,18,left,left,index,index,3,5,1,1,0.9641141141141141
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,14,right,right,middle,middle,2,5,2,2,0.9594272076372315
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,14,16,right,right,index,index,5,3,1,1,0.950682056663169
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,16,right,right,index,index,1,4,2,2,0.9768299881936245
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,15,right,right,middle,middle,4,5,2,2,0.9440185416295239
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,18,left,left,middle,middle,4,2,1,1,0.9724137931034482
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,8,right,right,index,index,3,3,2,2,0.9655300222386953
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,17,left,left,middle,middle,3,4,1,1,0.9604790419161676
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,9,left,left,middle,middle,1,5,2,2,0.9497642659730126
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,13,17,left,left,middle,middle,5,4,2,2,0.9623376623376624
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,7,left,left,middle,middle,1,4,2,2,0.9697459957935609
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,12,right,right,middle,middle,2,2,1,1,0.9572677775944564
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,18,right,right,middle,middle,1,4,2,2,0.9578438147892191
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,14,left,left,index,index,2,5,2,2,0.9431995831162063
28,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,5,11,right,right,middle,middle,1,4,1,1,0.9601679816747264
29,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,15,right,right,index,index,4,2,1,1,0.9607587604981176
