,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,1,1,0.9715918641788536
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,2,2,0.9645578005962239
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,1,1,0.9768378650553877
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,2,2,0.9722083541354635
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,1,1,0.9568582249300182
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,2,2,0.9606907894736842
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,1,1,0.9588857190803826
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,2,2,0.9637348211355432
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,1,1,0.9710144927536232
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,2,2,0.9572340058630798
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,1,1,0.8429225237005558
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,2,2,0.9637137989778535
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,1,1,0.8687541638907395
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,2,2,0.7370836165873556
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,1,1,0.9766606822262118
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,2,2,0.9708953946242082
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,1,1,0.9782138699484451
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,2,2,0.9620836891545688
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,1,1,0.7896540469973891
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,2,2,0.9622004724940938
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,1,1,0.745385629531971
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,2,2,0.8190645735555915
22,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,1,1,0.8145412768751026
23,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,3,2,2,0.9473771856786012
24,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,1,1,0.8116677235256817
25,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,4,2,2,0.9369341242585076
26,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,1,1,0.8088283557597638
27,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,5,2,2,0.9513040607461208
