,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.9998791657071542
1,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.9998426652698731
2,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9997778943382792
3,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9998259429598905
4,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.9998858407962484
5,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9998553439469493
6,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9998199988598706
7,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9998236944581428
8,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9998209120074752
9,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997481575075455
10,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9998718442982363
11,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9998379209629596
12,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.9997772537578046
13,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.9997490431930016
14,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9998769012548728
15,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9998704445900688
16,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.9997554229080104
17,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.9998027799632835
18,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.9998201019269709
19,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.9997477301440243
20,ii,random_subsampling_dist,fingerfocus,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.9999073021994801
