,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.9997836735608323
1,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.9998331721362008
2,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.9997800771949056
3,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.9998072791787825
4,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.9998299610658836
5,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.999825614444134
6,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.999748878246459
7,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.9998247827639567
8,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.9997459797930297
9,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.999753436059511
10,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.9997860541177168
11,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.9997478924193477
12,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.9996675795487237
13,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.9996962821213778
14,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.9998071336422226
15,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,2,2,0.9997552690089353
16,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,1,1,0.9996873601698726
17,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,2,2,0.9997294146510664
18,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,1,1,0.9997524419269286
19,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,2,2,0.999736545102333
20,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.9997152410375333
21,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.99980667676653
22,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.9997478175502987
23,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.9998279170694291
24,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.999844601542042
25,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,4,2,2,0.9998888657817742
26,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,5,1,1,0.999789430522092
27,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,5,2,2,0.9998754029419968
28,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,3,1,1,0.9996801866807357
29,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,3,2,2,0.9997492859318517
30,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,4,1,1,0.9998174395402712
31,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,4,2,2,0.9998239674791699
32,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,5,1,1,0.9997789015392501
33,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,5,2,2,0.9998508693650258
34,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,4,1,1,0.9998405956138444
35,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,4,2,2,0.9997619963860259
36,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,5,1,1,0.9997761031241421
37,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,5,2,2,0.9998240030859733
38,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,4,5,1,1,0.9997744224952558
39,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,4,5,2,2,0.999800749244863
40,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,2,1,1,0.9998806194882218
41,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,2,2,2,0.9999041967260036
42,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,3,1,1,0.9998686986146853
43,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,3,2,2,0.9998982364573762
44,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,4,1,1,0.9998882460421296
45,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,4,2,2,0.999874441035695
46,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,5,1,1,0.999874820516341
47,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,1,5,2,2,0.9998503106054936
48,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,3,1,1,0.9998085990643805
49,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,3,2,2,0.9997892248814758
50,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,4,1,1,0.9998270940264857
51,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,4,2,2,0.9998265278527423
52,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,5,1,1,0.9998338189424989
53,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,2,5,2,2,0.9998090111188458
54,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,3,4,1,1,0.9998305546059157
55,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,3,4,2,2,0.9998070408875136
56,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,3,5,1,1,0.9998422592211842
57,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,3,5,2,2,0.9998004754385265
58,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,4,5,1,1,0.9997249545422232
59,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,index,index,4,5,2,2,0.9997014899064744
60,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,2,1,1,0.9998090013073532
61,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,2,2,2,0.9998770848679053
62,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,3,1,1,0.9998065020229334
63,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,3,2,2,0.9998477881686001
64,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,4,1,1,0.9997896452893692
65,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,4,2,2,0.9998753920896786
66,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,5,1,1,0.9997765731614657
67,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,1,5,2,2,0.9998638734801231
68,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,3,1,1,0.9998063544326317
69,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,3,2,2,0.9997780339498721
70,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,4,1,1,0.999699381353747
71,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,4,2,2,0.9997181235132233
72,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,5,1,1,0.9998080931258472
73,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,2,5,2,2,0.9998137549778056
74,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,3,4,1,1,0.9997522245169902
75,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,3,4,2,2,0.9997608291750224
76,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,3,5,1,1,0.9998359790294574
77,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,3,5,2,2,0.9998219827454082
78,ii,random_subsampling_dist,fingerfocus,id,hist_eq,maximum_curvature,id,miura_matching,0,0,right,right,middle,middle,4,5,1,1,0.999794479674535
