,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.9998200995854618
1,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.9997885157965253
2,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.9999388033668128
3,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.9999072544936694
4,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.9999450393243634
5,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.9998308502927069
6,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.99988516925817
7,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.9998288122766871
8,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.9998570193995446
9,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.9998000901297449
10,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.9999221075346809
11,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.999674593175437
12,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.9997376438064359
13,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.999631178912053
14,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.9998140119609207
15,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.9997831797006641
16,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.9997631246809051
17,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.9998193593619374
18,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.999870583189126
19,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,2,2,0.9996345022649784
20,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,0.9996099425895391
21,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,2,2,0.999871512447694
22,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,1,1,0.9998064102521055
23,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,2,2,0.9999082475277806
24,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,1,1,0.9999185216838573
25,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,2,2,0.9999480012556902
26,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,1,1,0.9997614815355156
27,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,2,2,0.9998667681421107
28,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,1,1,0.9997690471228778
29,ii,random_subsampling_dist,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,2,2,0.9999208887813656
