,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.8996181123840699
1,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.8780146801817547
2,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.8381953252400798
3,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.8532110091743119
4,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.872284048754637
5,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.8862911795961743
6,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.859642792711528
7,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.8465389262903504
8,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.8548621190130624
9,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.8081795150199059
10,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.8326848249027238
11,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.8626453488372093
12,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.7825144508670521
13,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.785347726066183
14,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.8558336270708495
15,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9080733944954128
16,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.7802375809935205
17,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.8659996426657137
18,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.8025623025623025
19,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.7501345291479821
20,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.915905566086507
21,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.8142556179775281
22,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.9164681864579789
23,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.8484047241318526
24,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.9542136695421367
25,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.9157965644998316
26,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.8265773128473357
27,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.8756954102920723
28,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.7017238377154797
29,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.7687086979817824
30,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.928389614797217
31,ii,miura_distance,edge,id,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.8627216916780355
