,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.8996181123840699
1,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.8780146801817547
2,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.8381953252400798
3,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.8532110091743119
4,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.872284048754637
5,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9426142401700319
6,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.859642792711528
7,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9357845675815639
8,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.8548621190130624
9,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.8081795150199059
10,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.8326848249027238
11,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9118822674418605
12,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.7825144508670521
13,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.8986020173420634
14,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.8558336270708495
15,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9411009174311926
16,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.7802375809935205
17,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.929783812756834
18,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.8025623025623025
19,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.7501345291479821
20,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.915905566086507
21,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.9253862359550562
22,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.9164681864579789
23,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.9104530230918385
24,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.9542136695421367
25,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.8942404850117884
26,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.8439032363517489
27,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.9193324061196105
28,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.7017238377154797
29,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.7687086979817824
30,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.928389614797217
31,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.9447476125511596
32,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.8848403810797258
33,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.8467770341669603
34,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.9287868632707774
35,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.9287793186098271
36,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.879168042258171
37,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.8884173297966401
38,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.9787371134020618
39,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.922972972972973
40,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,0.9626924908715669
41,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,0.9480242079031684
42,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,0.8734674630619302
43,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,0.9769560557341908
44,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,0.9250403877221325
45,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,2,2,0.9487319832147418
46,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,1,1,0.9283768626822625
47,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,2,2,0.967444384156267
48,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,1,1,0.9303616989344139
49,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,2,2,0.9530346820809249
50,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,1,1,0.8679710368202126
51,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,2,2,0.9090238051300978
52,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,1,1,0.8677774380923264
53,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,2,2,0.9096396561185294
54,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,1,1,0.9107415318889228
55,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,4,2,2,0.969253565475088
56,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,1,1,0.9074943224829675
57,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,3,5,2,2,0.9295024784284928
58,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,1,1,0.7194155137571895
59,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,4,5,2,2,0.8729831144465291
60,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,1,1,0.9567797899863034
61,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,2,2,2,0.9509319738728692
62,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,1,1,0.9635664873174481
63,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,3,2,2,0.958754614026641
64,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,1,1,0.9585618525289458
65,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,4,2,2,0.9522661523625844
66,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,1,1,0.7910897049969898
67,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,1,5,2,2,0.9027906976744187
68,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,1,1,0.880944931163955
69,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,3,2,2,0.8796236210253082
70,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,1,1,0.7986358704076888
71,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,4,2,2,0.8942323314378554
72,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,1,1,0.9546776910120962
73,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,2,5,2,2,0.9284035719880934
74,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,1,1,0.788566953797964
75,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,4,2,2,0.7608446554264201
76,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,5,1,1,0.9453982985305491
77,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,3,5,2,2,0.8960075745620957
78,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,4,5,1,1,0.9445125689760883
79,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,0,0,right,right,middle,middle,4,5,2,2,0.9162452591656132
80,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,2,1,1,0.9053124542660618
81,ii,miura_distance,edge,leftmost_edge,hist_eq,maximum_curvature,id,id,1,1,left,left,index,index,1,2,2,2,0.8875017149128824
