,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,15,right,right,index,index,1,4,1,1,0.9312277823352475
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,14,right,right,index,index,3,1,2,2,0.9380915438324282
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,13,right,right,middle,middle,4,4,1,1,0.9313358302122348
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,6,17,right,right,middle,middle,3,4,2,2,0.9453302961275627
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,16,left,left,index,index,4,3,2,2,0.9599707102758116
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,12,19,right,right,index,index,2,1,2,2,0.984251968503937
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,9,left,left,index,index,2,5,2,2,0.9408446409513646
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,16,right,right,index,index,2,1,2,2,0.9510931174089069
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,3,right,right,index,index,5,1,1,1,0.9554704016913319
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,15,left,left,index,index,1,2,2,2,0.9454047824834342
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,4,5,left,left,middle,middle,5,1,2,2,0.9603620474406991
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,19,left,left,middle,middle,2,5,1,1,0.9440857438016529
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,8,14,left,left,middle,middle,4,1,2,2,0.9383691992387645
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,10,left,left,middle,middle,1,2,2,2,0.9483119211233941
