,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.9999219969906206
1,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.999850593187984
2,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9999233876555671
3,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9998258008198889
4,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.9998173996736401
5,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9998683234248599
6,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9999121408170855
7,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9998276223051201
8,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9997955429921199
9,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997693859171456
10,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9999463271237944
11,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9998672479363966
12,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.9997302985342434
13,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.999778690785471
14,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9999457274100176
15,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9998715522287962
16,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.9997370486075124
17,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.9998114007846939
18,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.9999394228559438
19,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.9997737004150811
20,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.9998824403122237
21,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.9998560033213147
22,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.9998926208883714
23,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.9998638690102932
24,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.9999438752069849
25,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.9998964601242053
26,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.999812804140292
27,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.9998821873024515
28,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.9997931340873486
29,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.9997774792743653
30,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.999893764014286
31,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.9998450406048411
32,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.9998628161645339
33,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.9998843124206795
34,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.9998936882863705
35,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.9997795569182895
36,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.9999253183220876
37,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.9998753317720773
38,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.9999459514301225
39,ii,random_subsampling_dist,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.9998999870761742
