,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.999867378181055
1,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.999850593187984
2,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9998083864042046
3,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9998258008198889
4,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.9998045749015546
5,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9998683234248599
6,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9998329854410765
7,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9998276223051201
8,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9997919288530916
9,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997693859171456
10,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9999283832332286
11,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9998672479363966
12,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.9997094602955973
13,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.999778690785471
14,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9998574754593507
15,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.9998715522287962
16,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.9997243579032419
17,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.9998114007846939
18,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.9999086659039359
19,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.9997737004150811
20,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.9998750662425442
21,ii,random_subsampling_dist,fingerfocus,huang_normalization,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.9998133521311606
