,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,1,1,0.005782
1,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,2,2,2,0.011845
2,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,1,1,0.008124
3,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,3,2,2,0.012777
4,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,1,1,0.011451
5,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,4,2,2,0.012912
6,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,1,1,0.006487
7,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,1,5,2,2,0.013492
8,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,1,1,0.012933
9,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,3,2,2,0.015959
10,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,1,1,0.00429
11,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,4,2,2,0.015337
12,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,1,1,0.011565
13,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,2,5,2,2,0.015451
14,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,1,1,0.006788
15,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,4,2,2,0.015026
16,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,1,1,0.013275
17,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,3,5,2,2,0.015927
18,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,1,1,0.005212
19,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,index,index,4,5,2,2,0.015326
20,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,1,1,0.013544
21,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,2,2,2,0.01287
22,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,1,1,0.013223
23,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,3,2,2,0.010197
24,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,1,1,0.005337
25,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,4,2,2,0.008819
26,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,1,1,0.012155
27,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,1,5,2,2,0.011254
28,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,1,1,0.013948
29,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,3,2,2,0.014518
30,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,1,1,0.011544
31,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,4,2,2,0.012218
32,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,1,1,0.011254
33,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,2,5,2,2,0.012249
34,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,1,1,0.012746
35,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,4,2,2,0.014446
36,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,5,1,1,0.01113
37,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,3,5,2,2,0.012207
38,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,4,5,1,1,0.005658
39,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,left,left,middle,middle,4,5,2,2,0.011896
40,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,2,1,1,0.006041
41,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,2,2,2,0.003544
42,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,3,1,1,0.010756
43,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,3,2,2,0.00372
44,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,4,1,1,0.006062
45,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,4,2,2,0.003451
46,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,5,1,1,0.006497
47,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,1,5,2,2,0.006404
48,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,3,1,1,0.011648
49,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,3,2,2,0.002715
50,ii,skeleton_hd,fingerfocus,huang_fingertip,hist_eq,maximum_curvature,skeletonize,id,0,0,right,right,index,index,2,4,1,1,0.011959
