,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.045867
1,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.044238
2,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.055995
3,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.054566
4,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.057857
5,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.047651
6,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.051651
7,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.048282
8,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.049047
9,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.044326
10,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.055762
11,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.033688
12,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.039074
13,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.029998
14,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.046299
15,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.042553
16,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.041312
17,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.046354
18,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.051507
19,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,index,index,4,5,2,2,0.03033
20,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,0.027937
21,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,2,2,2,0.051574
22,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,1,1,0.046609
23,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,3,2,2,0.054688
24,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,1,1,0.058599
25,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,4,2,2,0.060727
26,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,1,1,0.043085
27,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,1,5,2,2,0.051529
28,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,1,1,0.042542
29,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,3,2,2,0.055175
30,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,4,1,1,0.058211
31,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,4,2,2,0.060483
32,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,5,1,1,0.040193
33,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,2,5,2,2,0.050931
34,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,3,4,1,1,0.045745
35,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,3,4,2,2,0.060051
36,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,3,5,1,1,0.039517
37,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,3,5,2,2,0.051695
38,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,4,5,1,1,0.057757
39,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,left,left,middle,middle,4,5,2,2,0.058688
40,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,2,1,1,0.060882
41,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,2,2,2,0.048803
42,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,3,1,1,0.062145
43,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,3,2,2,0.048449
44,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,4,1,1,0.058333
45,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,4,2,2,0.053169
46,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,5,1,1,0.054798
47,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,1,5,2,2,0.054654
48,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,3,1,1,0.048471
49,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,3,2,2,0.052582
50,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,4,1,1,0.065869
51,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,4,2,2,0.046088
52,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,5,1,1,0.067298
53,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,2,5,2,2,0.048305
54,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,3,4,1,1,0.063675
55,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,3,4,2,2,0.054122
56,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,3,5,1,1,0.066545
57,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,3,5,2,2,0.055973
58,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,4,5,1,1,0.047041
59,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,index,index,4,5,2,2,0.034852
60,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,2,1,1,0.064927
61,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,2,2,2,0.064905
62,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,3,1,1,0.062799
63,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,3,2,2,0.060073
64,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,4,1,1,0.066246
65,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,4,2,2,0.062655
66,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,5,1,1,0.059397
67,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,1,5,2,2,0.059331
68,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,3,1,1,0.049224
69,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,3,2,2,0.058422
70,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,4,1,1,0.046443
71,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,4,2,2,0.054953
72,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,5,1,1,0.062511
73,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,2,5,2,2,0.061913
74,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,3,4,1,1,0.042188
75,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,3,4,2,2,0.039727
76,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,center_of_mass,0,0,right,right,middle,middle,3,5,1,1,0.062334
