,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,1,1,0.038021
1,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,2,2,2,0.042154
2,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,1,1,0.04068
3,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,3,2,2,0.0418
4,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,1,1,0.044492
5,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,4,2,2,0.041733
6,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,1,1,0.036314
7,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,1,5,2,2,0.0415
8,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,1,1,0.037278
9,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,3,2,2,0.030319
10,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,1,1,0.040049
11,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,4,2,2,0.029122
12,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,1,1,0.029322
13,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,2,5,2,2,0.026031
14,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,1,1,0.045855
15,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,4,2,2,0.030629
16,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,1,1,0.032247
17,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,3,5,2,2,0.025366
18,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,1,1,0.040093
19,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,index,index,4,5,2,2,0.029178
20,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,1,1,0.027937
21,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,2,2,2,0.039051
22,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,1,1,0.032912
23,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,3,2,2,0.043229
24,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,4,1,1,0.045124
25,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,4,2,2,0.051862
26,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,5,1,1,0.041999
27,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,1,5,2,2,0.048692
28,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,3,1,1,0.026695
29,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,3,2,2,0.032037
30,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,4,1,1,0.03986
31,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,4,2,2,0.04641
32,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,5,1,1,0.038575
33,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,2,5,2,2,0.043107
34,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,4,1,1,0.04488
35,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,4,2,2,0.039484
36,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,5,1,1,0.036902
37,ii,hamming_distance,edge,id,hist_eq,maximum_curvature,id,miura_matching,0,0,left,left,middle,middle,3,5,2,2,0.038708
