,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,2,1,1,0.010949
1,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,2,2,2,0.008245
2,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,3,1,1,0.010328
3,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,3,2,2,0.008599
4,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,4,1,1,0.009685
5,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,4,2,2,0.006793
6,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,5,1,1,0.010672
7,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,1,5,2,2,0.007535
8,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,3,1,1,0.011015
9,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,3,2,2,0.009652
10,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,4,1,1,0.00984
11,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,4,2,2,0.010273
12,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,5,1,1,0.01199
13,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,2,5,2,2,0.010749
14,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,4,1,1,0.011824
15,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,4,2,2,0.010073
16,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,5,1,1,0.013154
17,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,3,5,2,2,0.009597
18,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,4,5,1,1,0.011968
19,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,index,index,4,5,2,2,0.01025
20,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,2,1,1,0.010649
21,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,2,2,2,0.006494
22,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,3,1,1,0.011148
23,ii,skeleton_hd,edge,id,hist_eq,maximum_curvature,skeletonize,center_of_mass,0,0,left,left,middle,middle,1,3,2,2,0.007258
