,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.9997637531220125
1,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.9998521224773834
2,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9998175976826033
3,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9998597786322234
4,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.9998466300244282
5,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.9997944917235575
6,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9997432634563437
7,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9998226409160701
8,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9998066591575578
9,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997407217307389
10,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9998628020228507
11,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9997103249994582
12,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.99972517554136
13,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.9996746777857323
14,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9997899256553582
15,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.999721128295322
16,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.9996976291951832
17,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.9997636523837076
18,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.9997330282227307
19,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.9996392952639445
20,ii,random_subsampling_dist,edge,huang_fingertip,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.9997545090823271
