,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,1,1,0.9997637531220125
1,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,2,2,2,0.9998521224773834
2,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,1,1,0.9998175976826033
3,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,3,2,2,0.9998597786322234
4,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,1,1,0.9998466300244282
5,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,4,2,2,0.999906480875339
6,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,1,1,0.9997432634563437
7,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,1,5,2,2,0.9999128235011192
8,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,1,1,0.9998066591575578
9,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,3,2,2,0.9997407217307389
10,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,1,1,0.9998628020228507
11,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,4,2,2,0.9998297587486425
12,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,1,1,0.99972517554136
13,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,2,5,2,2,0.9998454362247
14,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,1,1,0.9997899256553582
15,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,4,2,2,0.999888403525206
16,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,1,1,0.9996976291951832
17,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,3,5,2,2,0.9998986068726106
18,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,1,1,0.9997330282227307
19,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,index,index,4,5,2,2,0.9996392952639445
20,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,1,1,0.9997545090823271
21,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,2,2,2,0.9999094063807804
22,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,1,1,0.9996756839171526
23,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,3,2,2,0.9999196223075195
24,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,1,1,0.999815524633937
25,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,4,2,2,0.9999241731827585
26,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,1,1,0.9997724599840041
27,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,1,5,2,2,0.9999102753384419
28,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,1,1,0.9997441072346448
29,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,3,2,2,0.9997250523237958
30,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,1,1,0.9997042870221932
31,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,4,2,2,0.9999219285941003
32,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,1,1,0.999769364484049
33,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,2,5,2,2,0.9998020370616545
34,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,1,1,0.9997650465728505
35,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,4,2,2,0.9998966123456107
36,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,1,1,0.9997215043864087
37,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,3,5,2,2,0.9998226100940691
38,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,1,1,0.9997584353044088
39,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,left,left,middle,middle,4,5,2,2,0.9999103290963487
40,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,1,1,0.9998829425638179
41,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,2,2,2,0.9999517084427707
42,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,1,1,0.999906914253778
43,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,3,2,2,0.9999036316310601
44,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,1,1,0.9998850150177355
45,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,4,2,2,0.9999615925331894
46,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,1,1,0.9998815164044693
47,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,1,5,2,2,0.999958755850593
48,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,1,1,0.9998552821997105
49,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,3,2,2,0.9998925289254466
50,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,1,1,0.999869151257576
51,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,4,2,2,0.9999155333858577
52,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,1,1,0.9998518813739135
53,ii,random_subsampling_dist,edge,huang_leftmost,hist_eq,maximum_curvature,id,id,0,0,right,right,index,index,2,5,2,2,0.9998968503196917
