,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,1,1,0.7878635064716759
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,2,2,2,0.7842000662471017
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,1,1,0.9620678079892582
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,3,2,2,0.8841737393909136
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,1,1,0.9436851638399473
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,4,2,2,0.8304276315789474
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,1,1,0.9018291659674442
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,1,5,2,2,0.78355759763702
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,1,1,0.9555222388805598
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,3,2,2,0.8420417313329884
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,1,1,0.9424648577966656
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,4,2,2,0.8366269165247019
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,1,1,0.8810792804796802
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,2,5,2,2,0.7814411964649898
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,1,1,0.952342092377999
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,4,2,2,0.7645951035781544
16,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,1,1,0.9590886412772327
17,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,3,5,2,2,0.7977796754910333
18,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,1,1,0.8528067885117494
19,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,index,index,4,5,2,2,0.719878501518731
20,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,1,1,0.7577455504284772
21,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,0,left,left,middle,middle,1,2,2,2,0.809192425958893
