,dataset_id,distance_function,mask,prealign,preprocess,feature_extractor,postprocess,postalign,id_m,id_p,side_m,side_p,finger_m,finger_p,trial_m,trial_p,camera_m,camera_p,distance
0,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,7,13,left,left,index,index,1,1,1,1,0.9525920873124147
1,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,6,right,right,index,index,4,5,2,2,0.9332568055100032
2,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,16,17,right,right,index,index,3,5,1,1,0.9557676638342452
3,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,0,8,left,left,middle,middle,4,5,2,2,0.9487971391417426
4,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,19,left,left,index,index,4,5,2,2,0.9595407326407873
5,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,9,18,right,right,middle,middle,3,3,2,2,0.9374629519857736
6,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,8,right,right,index,index,3,1,1,1,0.9492260957616085
7,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,17,left,left,index,index,1,2,1,1,0.9498639163443633
8,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,3,left,left,index,index,3,4,2,2,0.9670144216017184
9,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,11,right,right,index,index,2,3,2,2,0.957602588115103
10,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,18,right,right,index,index,4,4,1,1,0.9631000716503463
11,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,11,13,right,right,index,index,5,4,2,2,0.9299142480211082
12,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,14,left,left,middle,middle,2,1,2,2,0.935733044955971
13,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,1,13,right,right,index,index,4,3,2,2,0.9562466100162719
14,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,2,14,left,left,middle,middle,3,2,2,2,0.9435927104425803
15,ii,miura_distance,edge,translation,id,maximum_curvature,closing,shift_to_mass,3,5,left,left,index,index,5,2,2,2,0.9541297935103245
